"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2025,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2025,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2026,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2026,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2027,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2027,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2028,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2028,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2029,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2029,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2030,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2030,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2031,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2031,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2032,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2032,"Decreasing Batt Cap - Benchmark Chemistry","Refining",0,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2033,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
