"Country","Year","Scenario","Mineral","Recycling Scenario","Tonnes","Type","pattern_type"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Minerals Demand",0.0231960023025865,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Minerals Demand",0.161141939798421,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Minerals Demand",0.344646303276812,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Minerals Demand",0.0357372380617711,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Minerals Demand",0.0155897881661864,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Minerals Demand",0.14521149063738,"Demand","stripe"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Minerals Demand",0.000335922978791616,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Minerals Demand",0.0142015354082759,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Minerals Demand",0.0264478440214542,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Minerals Demand",0.00251405230724597,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Minerals Demand",0.000313178490663692,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Minerals Demand",0.0026773511739156,"Demand","circle"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Minerals Demand",0.145393726431088,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Minerals Demand",1.01437094495518,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Minerals Demand",2.16808013352028,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Minerals Demand",0.2247304241769,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Minerals Demand",0.097749442345727,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Minerals Demand",0.910402368138645,"Demand","diagonal"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Current NA Recycling Capacity",0.000566988046904069,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0144216028180013,"Recycling","stripe"
