"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00466586846201885
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00466586846201885
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00578209175923229
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00578209175923229
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00786715873756513
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00786715873756513
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0105792473570688
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0105792473570688
2030,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0135895665683625
2030,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0135895665683625
2031,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0176537255933853
2031,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0176537255933853
2032,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0229038188133912
2032,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0229038188133912
2033,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0277578812743664
2033,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0277578812743664
2034,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0338695812543042
2034,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0338695812543042
2035,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0419589278995725
2035,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0419589278995725
2036,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.039917600595953
2036,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0558590231358174
2037,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0383661466828179
2037,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0743563014060184
2038,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0371254515848317
2038,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0970943026876667
2039,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0368028572837639
2039,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.131592969803523
2040,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0345737590529119
2040,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.160403834602119
2041,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0331384564188293
2041,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.195337523739812
2042,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0317485269940294
2042,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.23162291237455
2043,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.030421796215323
