"Year","Scenario","Mineral","Recycling Scenario","Tonne"
2025,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",121.332125243974
2025,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",121.332125243974
2025,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",289.010306318332
2025,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",305.066434447128
2025,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",686.759249074798
2025,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",72.0559397140122
2025,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",53.8270359173906
2025,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",489.035238917286
2025,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",489.035238917286
2025,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",121.332125243974
2025,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",121.332125243974
2025,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",289.010306318332
2025,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",305.066434447128
2025,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",686.759249074798
2025,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",72.0559397140122
2025,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2025,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",53.8270359173906
2025,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",489.035238917286
2025,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",489.035238917286
