"Year","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2025,131417.270138079,131417.270138079,2496928.13262351,2496928.13262351,76051.4627962146,73443.0967035437,637250.960150807,608515.925082113
2026,197999.11671954,197999.11671954,3761983.21767125,3761983.21767125,85169.677281531,79855.2774953942,766536.692241461,701877.554330619
2027,252625.13418585,252625.13418585,4799877.54953115,4799877.54953115,179581.018703559,179581.018703559,1530843.24762879,1530843.24762879
2028,280281.938268214,280281.938268214,5325356.82709606,5325356.82709606,172624.717678719,172624.717678719,1578091.27950407,1578091.27950407
2029,280281.938268214,280281.938268214,5325356.82709606,5325356.82709606,282998.965941188,282998.965941188,2571710.45654386,2571710.45654386
2030,287089.766965411,287089.766965411,5454705.5723428,5454705.5723428,264850.228234892,264850.228234892,2589859.19425016,2589859.19425016
2031,287089.766965411,287089.766965411,5454705.5723428,5454705.5723428,249820.73342191,249820.73342191,2604888.68906314,2604888.68906314
2032,287089.766965411,287089.766965411,5454705.5723428,5454705.5723428,268630.93271248,235382.59824745,3050170.42638524,2619326.8242376
2033,302071.502100427,287089.766965411,5755030.97462742,5454705.5723428,290823.089974957,227748.682913802,3633153.05566592,2626960.73957125
2034,330119.780047348,287089.766965411,6416421.08832293,5454705.5723428,297442.83886531,233036.506796405,4050688.86444854,2794783.49036393
2035,354463.247383793,287089.766965411,7127328.50276728,5454705.5723428,311738.560555836,248220.367735719,4499484.96241415,3015174.64267044
2036,365826.891263479,287089.766965411,7516056.10363721,5454705.5723428,318411.86999237,256027.505113013,4744888.83202821,3142596.58612518
2037,374857.915129489,287089.766965411,7856599.60543305,5454705.5723428,323715.346361807,261842.366283055,4959874.06314016,3244727.57117545
2038,382497.242671254,287089.766965411,8169717.40758372,5454705.5723428,328201.547893022,266712.848201885,5157545.44052849,3335523.30664937
2039,389182.270133219,287089.766965411,8464936.82923931,5454705.5723428,332127.335898854,270966.950288534,5343917.56408589,3419090.0983879
2040,394915.934815844,291210.179108567,8735683.98358675,5534133.37855079,335494.435311472,274593.142952127,5514840.33678112,3493700.32644286
2041,398254.621539165,296266.687449137,8901468.98662369,5634824.62741076,337455.081900916,277562.581732707,5619500.46685214,3557266.74686479
2042,403230.104862192,303441.524146303,9160546.25137201,5784153.29593064,340376.93867172,281776.01062433,5783056.0341851,3651537.98723229
2043,408060.046521894,310452.255469755,9426890.10214624,5937914.95808427,343213.325978192,285893.068497063,5951198.99980326,3748607.77802241
2044,412756.077755509,317248.401920811,9701131.35186557,6094980.15821536,345971.07427419,289884.111222801,6124327.59612187,3847763.09348655
2045,417038.510499738,323411.103868473,9965508.16226299,6244765.94298363,348485.936509047,293503.163130561,6291228.76846609,3942322.91150062
2046,421305.911709827,329536.831308756,10243691.0231971,6401131.67016484,350991.971462823,297100.501727729,6466845.70531534,4041036.64944826
2047,424954.446142741,334825.550038804,10494147.9669473,6542569.82133754,353134.576380618,300206.306255051,6624959.26100438,4130326.60347046
2048,428307.874018866,339825.630929089,10735396.8041086,6682159.46724492,355103.879724459,303142.607967939,6777259.73580157,4218449.59547582
2049,431159.603114693,344061.854064977,10949453.9865364,6805170.95662435,356778.560037139,305630.333571389,6912394.10950931,4296106.79149983
2050,433583.858676936,347818.899536989,11138252.6439805,6918120.52843182,358202.206157289,307836.66168826,7031582.76761087,4367411.8954615
