"Country","Metric","Tonnes","pattern_type"
"CA","LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",1.06297667079253,"stripe"
"CA","LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",0.593887089156582,"stripe"
"CA","Pack Manufacturing",0.624331721816329,"stripe"
"CA","Decreasing Batt Cap Pack Manufacturing",0.387780941886154,"stripe"
"CA","Cell Manufacturing",1.16910198871513,"stripe"
"CA","Decreasing Batt Cap Cell Manufacturing",0.726145179722749,"stripe"
"CA","EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.558092296363599,"stripe"
"CA","EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.334490321459381,"stripe"
"CA","Black Mass",0.318,"stripe"
"CA","Refining",0.2825,"stripe"
"MX","LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",0.0322823859102812,"circle"
"MX","LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",0.0322823859102812,"circle"
"MX","Pack Manufacturing",0.0722214237524821,"circle"
"MX","Decreasing Batt Cap Pack Manufacturing",0.0448577106503899,"circle"
"MX","Cell Manufacturing",0,"circle"
"MX","Decreasing Batt Cap Cell Manufacturing",0,"circle"
"MX","EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.531980123263457,"circle"
"MX","EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.316736752752062,"circle"
"MX","Black Mass",0,"circle"
"MX","Refining",0,"circle"
"US","LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",10.3821348607856,"diagonal"
"US","LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",6.62305238742952,"diagonal"
"US","Pack Manufacturing",10.4416994984117,"diagonal"
"US","Decreasing Batt Cap Pack Manufacturing",6.48548187589527,"diagonal"
"US","Cell Manufacturing",5.86248077889573,"diagonal"
"US","Decreasing Batt Cap Cell Manufacturing",3.64126671573875,"diagonal"
"US","EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",5.98908924803054,"diagonal"
"US","EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",4.21132044586316,"diagonal"
"US","Black Mass",0.60038736185,"diagonal"
"US","Refining",1.120380881403,"diagonal"
