"Year","State_Province","Origin","Metric Tonnes (millions)","Region"
2050,"AB","LIB Demand",0.168393086417282,"Canada-Mountain"
2050,"AB","Pack Manufacturing",0,"Canada-Mountain"
2050,"AB","Cell Manufacturing",0,"Canada-Mountain"
2050,"AB","End of Life Batteries",0.0827371513822538,"Canada-Mountain"
2050,"AB","Black Mass",0,"Canada-Mountain"
2050,"AB","Refining",0,"Canada-Mountain"
2050,"AK","LIB Demand",0.0191169069442996,"US-West"
2050,"AK","Pack Manufacturing",0,"US-West"
2050,"AK","Cell Manufacturing",0,"US-West"
2050,"AK","End of Life Batteries",0.011504149027821,"US-West"
2050,"AK","Black Mass",0,"US-West"
2050,"AK","Refining",0,"US-West"
2050,"AL","LIB Demand",0.144629080432142,"US-South"
2050,"AL","Pack Manufacturing",0.272377941009361,"US-South"
2050,"AL","Cell Manufacturing",0,"US-South"
2050,"AL","End of Life Batteries",0.0842773538178688,"US-South"
2050,"AL","Black Mass",0.018,"US-South"
2050,"AL","Refining",0,"US-South"
2050,"AR","LIB Demand",0.0782843210396681,"US-South"
2050,"AR","Pack Manufacturing",0,"US-South"
2050,"AR","Cell Manufacturing",0,"US-South"
2050,"AR","End of Life Batteries",0.046738707624249,"US-South"
2050,"AR","Black Mass",0,"US-South"
2050,"AR","Refining",0,"US-South"
2050,"AZ","LIB Demand",0.256717536676404,"US-Mountain"
2050,"AZ","Pack Manufacturing",0.165696580780695,"US-Mountain"
2050,"AZ","Cell Manufacturing",0.377129673779076,"US-Mountain"
2050,"AZ","End of Life Batteries",0.142267696641192,"US-Mountain"
2050,"AZ","Black Mass",0.0141,"US-Mountain"
2050,"AZ","Refining",0,"US-Mountain"
2050,"BC","LIB Demand",0.144916301775207,"Canada-West"
2050,"BC","Pack Manufacturing",0,"Canada-West"
2050,"BC","Cell Manufacturing",0,"Canada-West"
2050,"BC","End of Life Batteries",0.0766683632195293,"Canada-West"
2050,"BC","Black Mass",0.25,"Canada-West"
2050,"BC","Refining",0.25,"Canada-West"
2050,"CA","LIB Demand",1.28246308207455,"US-West"
2050,"CA","Pack Manufacturing",0.934570322158995,"US-West"
2050,"CA","Cell Manufacturing",0.0321221853718844,"US-West"
2050,"CA","End of Life Batteries",0.768772079396242,"US-West"
2050,"CA","Black Mass",0.04582336185,"US-West"
2050,"CA","Refining",0.04582336185,"US-West"
2050,"CO","LIB Demand",0.236742739139419,"US-Mountain"
2050,"CO","Pack Manufacturing",0,"US-Mountain"
2050,"CO","Cell Manufacturing",0.00496223254972468,"US-Mountain"
2050,"CO","End of Life Batteries",0.126434723359038,"US-Mountain"
2050,"CO","Black Mass",0,"US-Mountain"
2050,"CO","Refining",0,"US-Mountain"
2050,"CT","LIB Demand",0.0900922406634429,"US-East"
2050,"CT","Pack Manufacturing",0,"US-East"
2050,"CT","Cell Manufacturing",0,"US-East"
2050,"CT","End of Life Batteries",0.0571102019499126,"US-East"
2050,"CT","Black Mass",0,"US-East"
2050,"CT","Refining",0,"US-East"
2050,"DC","LIB Demand",0.0172568301906953,"US-East"
2050,"DC","Pack Manufacturing",0,"US-East"
2050,"DC","Cell Manufacturing",0,"US-East"
2050,"DC","End of Life Batteries",0.0099366532140151,"US-East"
2050,"DC","Black Mass",0,"US-East"
2050,"DC","Refining",0,"US-East"
2050,"DE","LIB Demand",0.0365396620048666,"US-East"
2050,"DE","Pack Manufacturing",0,"US-East"
2050,"DE","Cell Manufacturing",0,"US-East"
2050,"DE","End of Life Batteries",0.0206446813991619,"US-East"
2050,"DE","Black Mass",0,"US-East"
2050,"DE","Refining",0,"US-East"
2050,"FL","LIB Demand",0.810237327306628,"US-East"
2050,"FL","Pack Manufacturing",0,"US-East"
2050,"FL","Cell Manufacturing",0.00992446509944936,"US-East"
2050,"FL","End of Life Batteries",0.442165647251552,"US-East"
2050,"FL","Black Mass",1.5e-05,"US-East"
2050,"FL","Refining",0,"US-East"
2050,"GA","LIB Demand",0.359029599652792,"US-East"
2050,"GA","Pack Manufacturing",1.04442908786189,"US-East"
2050,"GA","Cell Manufacturing",0.906434479083042,"US-East"
2050,"GA","End of Life Batteries",0.199823696437488,"US-East"
2050,"GA","Black Mass",0.032,"US-East"
2050,"GA","Refining",0.129143,"US-East"
2050,"HI","LIB Demand",0.0459486564125048,"US-West"
2050,"HI","Pack Manufacturing",0,"US-West"
2050,"HI","Cell Manufacturing",0,"US-West"
2050,"HI","End of Life Batteries",0.0266995901839552,"US-West"
2050,"HI","Black Mass",0,"US-West"
2050,"HI","Refining",0,"US-West"
2050,"IA","LIB Demand",0.0924647692666862,"US-Midwest"
2050,"IA","Pack Manufacturing",0,"US-Midwest"
2050,"IA","Cell Manufacturing",0,"US-Midwest"
2050,"IA","End of Life Batteries",0.0541139631287055,"US-Midwest"
2050,"IA","Black Mass",0,"US-Midwest"
2050,"IA","Refining",0,"US-Midwest"
2050,"ID","LIB Demand",0.0846446701513297,"US-West"
2050,"ID","Pack Manufacturing",0,"US-West"
2050,"ID","Cell Manufacturing",0,"US-West"
2050,"ID","End of Life Batteries",0.0425987737100409,"US-West"
2050,"ID","Black Mass",0,"US-West"
2050,"ID","Refining",0,"US-West"
2050,"IL","LIB Demand",0.303343248305466,"US-Midwest"
2050,"IL","Pack Manufacturing",0.0825387700028367,"US-Midwest"
2050,"IL","Cell Manufacturing",0.595467905966962,"US-Midwest"
2050,"IL","End of Life Batteries",0.194888852012142,"US-Midwest"
2050,"IL","Black Mass",0.024,"US-Midwest"
2050,"IL","Refining",0,"US-Midwest"
2050,"IN","LIB Demand",0.190238840143692,"US-Midwest"
2050,"IN","Pack Manufacturing",0.309190232430626,"US-Midwest"
2050,"IN","Cell Manufacturing",0.688493225499134,"US-Midwest"
2050,"IN","End of Life Batteries",0.111948880303234,"US-Midwest"
2050,"IN","Black Mass",5e-06,"US-Midwest"
2050,"IN","Refining",5e-06,"US-Midwest"
2050,"KS","LIB Demand",0.0772179395741665,"US-Midwest"
2050,"KS","Pack Manufacturing",0,"US-Midwest"
2050,"KS","Cell Manufacturing",0.198489301988987,"US-Midwest"
2050,"KS","End of Life Batteries",0.046643911515733,"US-Midwest"
2050,"KS","Black Mass",0,"US-Midwest"
2050,"KS","Refining",0,"US-Midwest"
2050,"KY","LIB Demand",0.120161364271873,"US-South"
2050,"KY","Pack Manufacturing",0.470470989016169,"US-South"
2050,"KY","Cell Manufacturing",0.172024061723789,"US-South"
2050,"KY","End of Life Batteries",0.0710607646483664,"US-South"
2050,"KY","Black Mass",0.00027,"US-South"
2050,"KY","Refining",0.00027,"US-South"
2050,"LA","LIB Demand",0.114180451698595,"US-South"
2050,"LA","Pack Manufacturing",0,"US-South"
2050,"LA","Cell Manufacturing",0,"US-South"
2050,"LA","End of Life Batteries",0.0696025567239928,"US-South"
2050,"LA","Black Mass",0,"US-South"
2050,"LA","Refining",0,"US-South"
2050,"MA","LIB Demand",0.218836164985322,"US-East"
2050,"MA","Pack Manufacturing",0.0908174086341212,"US-East"
2050,"MA","Cell Manufacturing",0,"US-East"
2050,"MA","End of Life Batteries",0.130085777933293,"US-East"
2050,"MA","Black Mass",0.03,"US-East"
2050,"MA","Refining",0,"US-East"
2050,"MB","LIB Demand",0.0363531197729836,"Canada-Midwest"
2050,"MB","Pack Manufacturing",0,"Canada-Midwest"
2050,"MB","Cell Manufacturing",0,"Canada-Midwest"
2050,"MB","End of Life Batteries",0.0187285940722432,"Canada-Midwest"
2050,"MB","Black Mass",0,"Canada-Midwest"
2050,"MB","Refining",0,"Canada-Midwest"
2050,"MD","LIB Demand",0.186344345596912,"US-East"
2050,"MD","Pack Manufacturing",0,"US-East"
2050,"MD","Cell Manufacturing",0.00132326201325992,"US-East"
2050,"MD","End of Life Batteries",0.111261179599203,"US-East"
2050,"MD","Black Mass",0,"US-East"
2050,"MD","Refining",0,"US-East"
2050,"ME","LIB Demand",0.0391293105741354,"US-East"
2050,"ME","Pack Manufacturing",0,"US-East"
2050,"ME","Cell Manufacturing",0,"US-East"
2050,"ME","End of Life Batteries",0.0238531339240522,"US-East"
2050,"ME","Black Mass",0,"US-East"
2050,"ME","Refining",0,"US-East"
2050,"MI","LIB Demand",0.255761720475911,"US-Midwest"
2050,"MI","Pack Manufacturing",1.67720431421164,"US-Midwest"
2050,"MI","Cell Manufacturing",1.06873256500937,"US-Midwest"
2050,"MI","End of Life Batteries",0.156875987190517,"US-Midwest"
2050,"MI","Black Mass",0.02268,"US-Midwest"
2050,"MI","Refining",0,"US-Midwest"
2050,"MN","LIB Demand",0.182862212395089,"US-Midwest"
2050,"MN","Pack Manufacturing",0,"US-Midwest"
2050,"MN","Cell Manufacturing",0,"US-Midwest"
2050,"MN","End of Life Batteries",0.104328695555989,"US-Midwest"
2050,"MN","Black Mass",0,"US-Midwest"
2050,"MN","Refining",0,"US-Midwest"
2050,"MO","LIB Demand",0.165345651688666,"US-Midwest"
2050,"MO","Pack Manufacturing",0,"US-Midwest"
2050,"MO","Cell Manufacturing",0.00132326201325992,"US-Midwest"
2050,"MO","End of Life Batteries",0.100439990384106,"US-Midwest"
2050,"MO","Black Mass",0,"US-Midwest"
2050,"MO","Refining",0.2060853314,"US-Midwest"
2050,"MS","LIB Demand",0.0717742354271003,"US-South"
2050,"MS","Pack Manufacturing",0,"US-South"
2050,"MS","Cell Manufacturing",0.138942511392291,"US-South"
2050,"MS","End of Life Batteries",0.0448296006507908,"US-South"
2050,"MS","Black Mass",0,"US-South"
2050,"MS","Refining",0,"US-South"
2050,"MT","LIB Demand",0.0326192959536671,"US-Mountain"
2050,"MT","Pack Manufacturing",0,"US-Mountain"
2050,"MT","Cell Manufacturing",0,"US-Mountain"
2050,"MT","End of Life Batteries",0.0179063118209282,"US-Mountain"
2050,"MT","Black Mass",0,"US-Mountain"
2050,"MT","Refining",0,"US-Mountain"
2050,"NB","LIB Demand",0.0226219223598344,"Canada-East"
2050,"NB","Pack Manufacturing",0,"Canada-East"
2050,"NB","Cell Manufacturing",0,"Canada-East"
2050,"NB","End of Life Batteries",0.0119754344554141,"Canada-East"
2050,"NB","Black Mass",0,"Canada-East"
2050,"NB","Refining",0,"Canada-East"
2050,"NC","LIB Demand",0.330117439787482,"US-East"
2050,"NC","Pack Manufacturing",0.566711194839477,"US-East"
2050,"NC","Cell Manufacturing",0.205105612055287,"US-East"
2050,"NC","End of Life Batteries",0.184478043814097,"US-East"
