"Year","Mineral","Total_Minerals_Exported","Scenario"
2035,"Cobalt",0,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Copper",0,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Graphite",0,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Lithium",0,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Manganese",0,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Nickel",0,"Decreasing Batt Cap - Benchmark Chemistry"
2035,"Cobalt",0,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Copper",0,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Graphite",0,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Lithium",0,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Manganese",0,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Nickel",0,"Decreasing Batt Cap - High LFP Chemistry"
2035,"Cobalt",549.662085912251,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Copper",3381.52478318305,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Graphite",6735.97347524078,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Lithium",627.855910128844,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Manganese",244.993069792179,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Nickel",2816.92000346356,"Increasing Batt Cap - Benchmark Chemistry"
2035,"Cobalt",555.63455647081,"Increasing Batt Cap - High LFP Chemistry"
2035,"Copper",3513.67812973432,"Increasing Batt Cap - High LFP Chemistry"
2035,"Graphite",6969.93623436553,"Increasing Batt Cap - High LFP Chemistry"
2035,"Lithium",647.95444456332,"Increasing Batt Cap - High LFP Chemistry"
2035,"Manganese",246.090779393071,"Increasing Batt Cap - High LFP Chemistry"
2035,"Nickel",2846.25824479702,"Increasing Batt Cap - High LFP Chemistry"
2036,"Cobalt",1430.30564069727,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Copper",8986.18952209674,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Graphite",17892.2948995018,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Lithium",1664.62241459663,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Manganese",653.701755541142,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Nickel",7448.29146619521,"Decreasing Batt Cap - Benchmark Chemistry"
2036,"Cobalt",1419.57097422056,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Copper",9151.32076098549,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Graphite",18151.0582621772,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Lithium",1684.60411305716,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Manganese",645.43126287818,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Nickel",7392.10780789903,"Decreasing Batt Cap - High LFP Chemistry"
2036,"Cobalt",2815.94009887719,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Copper",17419.7260492176,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Graphite",34767.1253867383,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Lithium",3239.30209518001,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Manganese",1302.10617407392,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Nickel",14662.4671541567,"Increasing Batt Cap - Benchmark Chemistry"
2036,"Cobalt",2760.95402845093,"Increasing Batt Cap - High LFP Chemistry"
2036,"Copper",17665.3395459283,"Increasing Batt Cap - High LFP Chemistry"
2036,"Graphite",35077.1512036374,"Increasing Batt Cap - High LFP Chemistry"
2036,"Lithium",3257.74343850779,"Increasing Batt Cap - High LFP Chemistry"
2036,"Manganese",1268.25897571361,"Increasing Batt Cap - High LFP Chemistry"
2036,"Nickel",14372.7941924653,"Increasing Batt Cap - High LFP Chemistry"
2037,"Cobalt",3866.78328007663,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Copper",24543.5398695767,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Graphite",48906.5487261255,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Lithium",4546.05857450325,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Manganese",1815.23585831411,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Nickel",20413.6640839567,"Decreasing Batt Cap - Benchmark Chemistry"
2037,"Cobalt",3789.77683147291,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Copper",24832.4719813226,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Graphite",49249.1227456843,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Lithium",4564.33432760924,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Manganese",1769.018599638,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Nickel",20011.5714986632,"Decreasing Batt Cap - High LFP Chemistry"
2037,"Cobalt",5463.46973250277,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Copper",34016.5621445729,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Graphite",67978.5201220312,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Lithium",6330.22947167854,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Manganese",2597.04322928675,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Nickel",28822.2811978316,"Increasing Batt Cap - Benchmark Chemistry"
2037,"Cobalt",5306.21788804133,"Increasing Batt Cap - High LFP Chemistry"
2037,"Copper",34441.5513357424,"Increasing Batt Cap - High LFP Chemistry"
2037,"Graphite",68395.982957932,"Increasing Batt Cap - High LFP Chemistry"
2037,"Lithium",6344.20408555644,"Increasing Batt Cap - High LFP Chemistry"
2037,"Manganese",2504.27196579905,"Increasing Batt Cap - High LFP Chemistry"
2037,"Nickel",27993.4189649831,"Increasing Batt Cap - High LFP Chemistry"
2038,"Cobalt",7012.0188822451,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Copper",44678.4144775717,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Graphite",89039.428743103,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Lithium",8273.07203706708,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Manganese",3375.65966370797,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Nickel",37145.5074417507,"Decreasing Batt Cap - Benchmark Chemistry"
