"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2025,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2026,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2027,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2028,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2029,"AL",7020.5733439846,7020.5733439846,133390.893535707,133390.893535707,0,0,0,0
2030,"AL",7020.57334398461,7020.57334398461,133390.893535707,133390.893535707,0,0,0,0
2031,"AL",7020.57334398461,7020.57334398461,133390.893535707,133390.893535707,0,0,0,0
2032,"AL",7020.57334398461,7020.57334398461,133390.893535707,133390.893535707,0,0,0,0
2033,"AL",7386.94087929354,7020.57334398461,140735.134802429,133390.893535707,0,0,0,0
2034,"AL",8072.84130193921,7020.57334398461,156908.953365405,133390.893535707,0,0,0,0
2035,"AL",8668.14325118282,7020.57334398461,174293.681830806,133390.893535707,0,0,0,0
2036,"AL",8946.03297242069,7020.57334398461,183799.735151987,133390.893535707,0,0,0,0
2037,"AL",9166.88015235601,7020.57334398461,192127.481056853,133390.893535707,0,0,0,0
2038,"AL",9353.69440168501,7020.57334398461,199784.551242747,133390.893535707,0,0,0,0
2039,"AL",9517.17193033177,7020.57334398461,207003.929433093,133390.893535707,0,0,0,0
2040,"AL",9657.38456786208,7121.33505334207,213624.855963715,135333.243292472,0,0,0,0
2041,"AL",9739.02974547122,7244.98832055768,217679.008730831,137795.575214613,0,0,0,0
2042,"AL",9860.70160427799,7420.4437810431,224014.556521859,141447.300181284,0,0,0,0
2043,"AL",9978.81434660083,7591.88616288597,230527.803437083,145207.430812386,0,0,0,0
2044,"AL",10093.6524059637,7758.0810263269,237234.175551811,149048.347083849,0,0,0,0
2045,"AL",10198.3762123512,7908.7854609642,243699.319912277,152711.250498928,0,0,0,0
2046,"AL",10302.7324334047,8058.58571067127,250502.081288521,156535.061663516,0,0,0,0
2047,"AL",10391.9547134431,8187.91751560629,256626.825342253,159993.8297152,0,0,0,0
2048,"AL",10473.96037532,8310.19089019274,262526.391785684,163407.393902849,0,0,0,0
2049,"AL",10543.6973551018,8413.78467391186,267761.005909783,166415.551220575,0,0,0,0
2050,"AL",10602.9807777023,8505.66051320682,272377.941009361,169177.651595756,0,0,0,0
2025,"AZ",1914.70182108671,1914.70182108671,36379.3346006475,36379.3346006475,0,0,0,0
2026,"AZ",1930.65766959577,1930.65766959577,36682.4957223196,36682.4957223196,0,0,0,0
2027,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,11878.7221336364,11878.7221336364,95565.8934675568,95565.8934675568
2028,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,11161.9225717916,11161.9225717916,96282.6930294016,96282.6930294016
2029,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,15493.5799167422,15493.5799167422,137614.997314958,137614.997314958
2030,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,14472.1405411133,14472.1405411133,138636.436690587,138636.436690587
2031,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,13450.7011654843,13450.7011654843,139657.876066216,139657.876066216
2032,"AZ",4270.8487842573,4270.8487842573,81146.1269008887,81146.1269008887,14184.9236621409,12429.2617898554,163819.147574198,140679.315441845
2033,"AZ",4493.7223682369,4270.8487842573,85613.8736714777,81146.1269008887,15482.5045868383,12124.6219760713,194984.371148408,140983.955255629
2034,"AZ",4910.97845867969,4270.8487842573,95452.9466306214,81146.1269008887,15952.9546186811,12498.6058887855,217253.358243419,149894.528847623
2035,"AZ",5273.12047780288,4270.8487842573,106028.656447074,81146.1269008887,16719.686809109,13312.9722572121,241323.945423124,161714.917815524
2036,"AZ",5442.17005822258,4270.8487842573,111811.505550792,81146.1269008887,17077.6009649971,13731.6977802635,254485.85851586,168549.025804515
2037,"AZ",5576.51875934991,4270.8487842573,116877.550976252,81146.1269008887,17362.0459298368,14043.5701948541,266016.308025753,174026.686574173
2038,"AZ",5690.16409435838,4270.8487842573,121535.602006004,81146.1269008887,17602.6574359358,14304.7920730429,276618.151811665,178896.396173203
2039,"AZ",5789.61292428516,4270.8487842573,125927.390405132,81146.1269008887,17813.2119012526,14532.9552313507,286613.975011311,183378.390903079
2040,"AZ",5874.90894544943,4332.14549078309,129955.12071126,82327.7230029207,17993.8018402506,14727.4412953675,295781.192640446,187380.012144964
