"Country","Year","Scenario","Mineral","Recycling Scenario","Tonnes","Type","pattern_type"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Minerals Demand",0.0149313879786271,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Minerals Demand",0.0801362884008782,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Minerals Demand",0.179197858412488,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Minerals Demand",0.0190354820981415,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Minerals Demand",0.00986147347932414,"Demand","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Minerals Demand",0.0923315571924096,"Demand","stripe"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Minerals Demand",6.21520059252635e-05,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Minerals Demand",0.00262754848155398,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Minerals Demand",0.00489334359990764,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Minerals Demand",0.000465146488217178,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Minerals Demand",5.79438521217373e-05,"Demand","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Minerals Demand",0.000495359819157946,"Demand","circle"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Minerals Demand",0.12448103149318,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Minerals Demand",0.793271620997032,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Minerals Demand",1.72028048304744,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Minerals Demand",0.179756060118886,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Minerals Demand",0.0831358229705012,"Demand","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Minerals Demand",0.775815151090875,"Demand","diagonal"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Current NA Recycling Capacity",0.000474186652504355,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00812781165739218,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Current NA Recycling Capacity",0.00232443332249339,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0398737561069727,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Current NA Recycling Capacity",0.00493546023942558,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",0.0847314360847681,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Current NA Recycling Capacity",0.00047095959318705,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",0.008077373874765,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Current NA Recycling Capacity",0.000293209838082513,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",0.00502259900573849,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Current NA Recycling Capacity",0.00273917033065018,"Recycling","stripe"
"CA",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",0.0469724983195154,"Recycling","stripe"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Current NA Recycling Capacity",0.000458545547771447,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00787126142366413,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Current NA Recycling Capacity",0.0022096449584086,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0379324898656913,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Current NA Recycling Capacity",0.00471668602381025,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",0.0809755445228571,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Current NA Recycling Capacity",0.000450499011193557,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",0.00773350122005683,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Current NA Recycling Capacity",0.000284556557426814,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",0.00488437437659408,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Current NA Recycling Capacity",0.00265996238341134,"Recycling","circle"
"MX",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",0.0456618422083713,"Recycling","circle"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Current NA Recycling Capacity",0.0039826675322862,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0683231044323178,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Current NA Recycling Capacity",0.0254405616433563,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.436635768663756,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Current NA Recycling Capacity",0.0516282315378451,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",0.886347774777671,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Current NA Recycling Capacity",0.00479562171577649,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",0.082299286246775,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Current NA Recycling Capacity",0.00250975340744604,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",0.04304324997058,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Current NA Recycling Capacity",0.0233406222433039,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",0.400500220834428,"Recycling","diagonal"
