"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00699068481997605
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00699068481997605
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00834273532173802
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00834273532173802
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0111653173600108
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0111653173600108
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0145467447725216
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0145467447725216
2030,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.018486568027154
2030,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.018486568027154
2031,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0231935762669829
2031,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0231935762669829
2032,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0290394469254145
2032,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0290394469254145
2033,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0334616018625849
2033,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0334616018625849
2034,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0404533517207351
2034,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0404533517207351
2035,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0499038271717032
2035,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0499038271717032
2036,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0589572148530118
2036,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0645936555488095
2037,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0558319963684807
2037,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0838742077203378
2038,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0535545466888938
2038,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.106975175904262
2039,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0525505911962594
2039,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.140016306052331
2040,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0490531574726891
2040,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.163752581035074
2041,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0468459184095067
