State,Sale Year,Propulsion,Global Segment,Sales
Alabama,2014,BEV,Car,98.27327863003924
Alabama,2014,BEV,SUV,15.722440242597218
Alabama,2014,PHEV,Car,163.9027559055118
Alabama,2014,PHEV,SUV,32.54173228346457
Alaska,2014,BEV,Car,39.3093114520157
Alaska,2014,BEV,SUV,6.288976097038887
Alaska,2014,PHEV,Car,36.42283464566929
Alaska,2014,PHEV,SUV,7.231496062992126
Arizona,2014,BEV,Car,923.768819122369
Arizona,2014,BEV,SUV,147.79093828041385
Arizona,2014,PHEV,Car,801.3023622047244
Arizona,2014,PHEV,SUV,159.09291338582676
Arkansas,2014,BEV,Car,39.3093114520157
Arkansas,2014,BEV,SUV,6.288976097038887
Arkansas,2014,PHEV,Car,91.05708661417323
Arkansas,2014,PHEV,SUV,18.078740157480315
California,2014,BEV,Car,27811.337852301105
California,2014,BEV,SUV,4449.450588655012
California,2014,PHEV,Car,21252.72401574803
California,2014,PHEV,SUV,4219.577952755905
Colorado,2014,BEV,Car,1041.696753478416
Colorado,2014,BEV,SUV,166.65786657153052
Colorado,2014,PHEV,Car,692.0338582677165
Colorado,2014,PHEV,SUV,137.39842519685038
Connecticut,2014,BEV,Car,393.093114520157
Connecticut,2014,BEV,SUV,62.88976097038887
Connecticut,2014,PHEV,Car,509.91968503937005
Connecticut,2014,PHEV,SUV,101.24094488188976
Delaware,2014,BEV,Car,58.963967178023545
Delaware,2014,BEV,SUV,9.43346414555833
Delaware,2014,PHEV,Car,127.47992125984251
Delaware,2014,PHEV,SUV,25.31023622047244
District of Columbia,2014,BEV,Car,117.92793435604709
District of Columbia,2014,BEV,SUV,18.86692829111666
District of Columbia,2014,PHEV,Car,91.05708661417323
District of Columbia,2014,PHEV,SUV,18.078740157480315
Florida,2014,BEV,Car,2279.9400642169107
Florida,2014,BEV,SUV,364.76061362825544
Florida,2014,PHEV,Car,1839.3531496062994
Florida,2014,PHEV,SUV,365.19055118110236
Georgia,2014,BEV,Car,3537.8380306814124
Georgia,2014,BEV,SUV,566.0078487334998
Georgia,2014,PHEV,Car,728.4566929133858
Georgia,2014,PHEV,SUV,144.62992125984252
Hawaii,2014,BEV,Car,825.4955404923296
Hawaii,2014,BEV,SUV,132.06849803781662
Hawaii,2014,PHEV,Car,218.53700787401576
Hawaii,2014,PHEV,SUV,43.38897637795276
Idaho,2014,BEV,Car,78.6186229040314
Idaho,2014,BEV,SUV,12.577952194077774
Idaho,2014,PHEV,Car,109.26850393700788
Idaho,2014,PHEV,SUV,21.69448818897638
Illinois,2014,BEV,Car,1139.9700321084554
Illinois,2014,BEV,SUV,182.38030681412772
Illinois,2014,PHEV,Car,1092.6850393700788
Illinois,2014,PHEV,SUV,216.94488188976376
Indiana,2014,BEV,Car,255.510524438102
Indiana,2014,BEV,SUV,40.878344630752764
Indiana,2014,PHEV,Car,437.0740157480315
Indiana,2014,PHEV,SUV,86.77795275590552
Iowa,2014,BEV,Car,78.6186229040314
Iowa,2014,BEV,SUV,12.577952194077774
Iowa,2014,PHEV,Car,218.53700787401576
Iowa,2014,PHEV,SUV,43.38897637795276
Kansas,2014,BEV,Car,117.92793435604709
Kansas,2014,BEV,SUV,18.86692829111666
Kansas,2014,PHEV,Car,182.11417322834646
Kansas,2014,PHEV,SUV,36.15748031496063
Kentucky,2014,BEV,Car,98.27327863003924
Kentucky,2014,BEV,SUV,15.722440242597218
Kentucky,2014,PHEV,Car,163.9027559055118
Kentucky,2014,PHEV,SUV,32.54173228346457
Louisiana,2014,BEV,Car,78.6186229040314
Louisiana,2014,BEV,SUV,12.577952194077774
Louisiana,2014,PHEV,Car,91.05708661417323
Louisiana,2014,PHEV,SUV,18.078740157480315
Maine,2014,BEV,Car,58.963967178023545
Maine,2014,BEV,SUV,9.43346414555833
Maine,2014,PHEV,Car,182.11417322834646
Maine,2014,PHEV,SUV,36.15748031496063
Maryland,2014,BEV,Car,628.9489832322512
Maryland,2014,BEV,SUV,100.62361755262219
Maryland,2014,PHEV,Car,910.5708661417323
Maryland,2014,PHEV,SUV,180.78740157480314
Massachusetts,2014,BEV,Car,707.5676061362826
Massachusetts,2014,BEV,SUV,113.20156974669997
Massachusetts,2014,PHEV,Car,946.9937007874015
Massachusetts,2014,PHEV,SUV,188.01889763779528
Michigan,2014,BEV,Car,314.4744916161256
Michigan,2014,BEV,SUV,50.311808776311096
Michigan,2014,PHEV,Car,2112.524409448819
Michigan,2014,PHEV,SUV,419.4267716535433
Minnesota,2014,BEV,Car,314.4744916161256
Minnesota,2014,BEV,SUV,50.311808776311096
Minnesota,2014,PHEV,Car,437.0740157480315
Minnesota,2014,PHEV,SUV,86.77795275590552
Mississippi,2014,BEV,Car,19.65465572600785
Mississippi,2014,BEV,SUV,3.1444880485194435
Mississippi,2014,PHEV,Car,36.42283464566929
Mississippi,2014,PHEV,SUV,7.231496062992126
Missouri,2014,BEV,Car,275.1651801641099
Missouri,2014,BEV,SUV,44.02283267927221
Missouri,2014,PHEV,Car,382.43976377952754
Missouri,2014,PHEV,SUV,75.93070866141733
Montana,2014,BEV,Car,39.3093114520157
Montana,2014,BEV,SUV,6.288976097038887
Montana,2014,PHEV,Car,36.42283464566929
Montana,2014,PHEV,SUV,7.231496062992126
Nebraska,2014,BEV,Car,58.963967178023545
Nebraska,2014,BEV,SUV,9.43346414555833
Nebraska,2014,PHEV,Car,109.26850393700788
Nebraska,2014,PHEV,SUV,21.69448818897638
Nevada,2014,BEV,Car,393.093114520157
Nevada,2014,BEV,SUV,62.88976097038887
Nevada,2014,PHEV,Car,254.95984251968503
