Sale Year,Global Segment,Total Sales,Total Mwh,BEV,FCEV,PHEV
2014,Car,55092,2170.2038000000002,39.39235823713062,0,0
2014,Car,0,0,0,NA,0
2014,Car,46257,490.3427,0,0,10.600399939468621
2014,SUV,8814,225.6772,25.60440208758793,0,0
2014,SUV,100,0.095,0,0.95,0
2014,SUV,9184,69.7641,0,0,7.5962652439024385
2015,Car,57523,2839.1086,49.35605931540427,0,0
2015,Car,72,0.1152,0,1.5999999999999999,0
2015,Car,31156,384.98870000000005,0,0,12.356807677493904
2015,SUV,14178,346.3646,24.429722104669203,0,0
2015,SUV,38,0.03609999999999999,0,0.9499999999999997,0
2015,SUV,12892,101.97549999999998,0,0,7.909982935153582
2016,Car,55473,3087.2606,55.65339174012583,0,0
2016,Car,1042,1.7664000000000002,0,1.6952015355086374,0
2016,Car,53072,691.0665999999999,0,0,13.021303135363278
2016,SUV,28787,1943.7540000000001,67.52193698544482,0,0
2016,SUV,40,0.038,0,0.95,0
2016,SUV,19904,170.2979,0,0,8.55596362540193
2017,Car,52911,3092.6507000000006,58.45005197406967,0,0
2017,Car,2270,8.9888,0,3.9598237885462555,0
2017,Car,69206,803.1164,0,0,11.604722133919024
2017,SUV,53789,3636.5860000000002,67.60835858632807,0,0
2017,SUV,28,0.0266,0,0.95,0
2017,SUV,23912,239.69,0,0,10.023837403813985
2018,Car,186074,13472.570999999998,72.40437137912872,0,0
2018,Car,2324,11.455999999999998,0,4.929432013769363,0
2018,Car,94964,1166.0999000000002,0,0,12.279389031633041
2018,SUV,50333,3607.259,71.66787197266207,0,0
2018,SUV,44,0.04668,0,1.0609090909090908,0
2018,SUV,27533,310.0442,0,0,11.260821559583045
2019,Car,180070,13307.295399999999,73.90067973565836,0,0
2019,Car,1822,6.8831999999999995,0,3.777826564215148,0
2019,Car,56945,633.4033,0,0,11.123071384669416
2019,SUV,53820,4157.581,77.24973987365293,0,0
2019,SUV,267,0.41652,0,1.56,0
2019,SUV,24789,285.5709,0,0,11.520065351567228
2020,Car,126999,9092.5163,71.59518027701004,0,0
2020,Car,729,4.0184,0,5.512208504801097,0
2020,Car,34140,360.66569999999996,0,0,10.564314586994728
2020,SUV,129144,10344.847999999998,80.10320262652542,0,0
2020,SUV,208,0.32448000000000005,0,1.5600000000000003,0
2020,SUV,37556,504.7472000000001,0,0,13.4398551496432
2021,Car,191095,13810.163099999998,72.26857374604253,0,0
2021,Car,2911,8.1544,0,2.8012366884232223,0
2021,Car,43350,443.00509999999997,0,0,10.219264129181083
2021,SUV,291659,22728.649,77.92884498678251,0,0
2021,SUV,430,0.6708000000000001,0,1.5600000000000003,0
2021,SUV,134992,2131.3166,0,0,15.788465983169374
2022,Car,285791,22236.058299999997,77.80531332337266,0,0
2022,Car,2299,6.220400000000001,0,2.705698129621575,0
2022,Car,26371,299.6526,0,0,11.362959311364758
2022,SUV,472634,38384.22600000001,81.21342518735429,0,0
2022,SUV,408,0.63648,0,1.5600000000000003,0
2022,SUV,162913,2839.0633499999994,0,0,17.426868021582067
2023,Car,321460,23643.465,73.55025508616936,0,0
2023,Car,2737,4.3792,0,1.6,0
2023,Car,19702,269.8208,0,0,13.695096944472644
2023,SUV,795936,65770.68639999999,82.63313432235756,0,0
2023,SUV,241,0.37596,0,1.56,0
2023,SUV,268262,4669.37965,0,0,17.406042040989778
2024,Car,260803,18732.4455,71.8260353600227,0,0
2024,Car,449,0.7183999999999999,0,1.5999999999999999,0
2024,Car,23289,397.3305,0,0,17.060865644724977
2024,SUV,908855,77981.08510000001,85.80145908863351,0,0
2024,SUV,103,0.45120000000000005,0,4.380582524271845,0
2024,SUV,299810,5348.8856000000005,0,0,17.8409179146793
2025,Car,18671,1340.8154,71.81272561726742,0,0
2025,Car,17,0.0272,0,1.5999999999999999,0
2025,Car,2250,42.24870000000001,0,0,18.777200000000004
2025,SUV,69520,6002.068299999999,86.33585011507479,0,0
2025,SUV,8,0.1416,0,17.7,0
2025,SUV,20880,408.38715,0,0,19.55877155172414
