"Year","Geography 2","Newfoundland and Labrador","Prince Edward Island","Nova Scotia","New Brunswick","Quebec","Ontario","Manitoba","Saskatchewan","Alberta","British Columbia","Yukon","Northwest Territories","Nunavut"
2025,2025000,544500,180900,1085100,861700,9055900,16156300,1498400,1245500,4951200,5711000,47100,44600,41500
2026,2026000,542100,182200,1089000,865800,9011500,16089800,1496100,1247600,4996200,5686200,47300,44400,41700
2027,2027000,540600,184100,1095900,871700,9004900,16113700,1499300,1252700,5056200,5696700,47700,44300,42000
2028,2028000,540200,186900,1106400,879700,9041100,16243900,1509000,1261300,5132700,5748800,48100,44200,42300
2029,2029000,539500,189600,1116300,887000,9075500,16375200,1518700,1270100,5207700,5801400,48600,44200,42700
2030,2030000,538500,191800,1124700,893800,9108300,16506900,1528800,1279200,5286200,5851800,49000,44200,43000
2031,2031000,537300,193900,1132400,899900,9139700,16640800,1539100,1288700,5363600,5902900,49400,44200,43300
2032,2032000,535800,195900,1139400,905400,9170200,16777300,1549600,1298700,5440000,5954800,49800,44300,43700
2033,2033000,534100,197700,1145500,910300,9199900,16916600,1560500,1309000,5515400,6007600,50200,44300,44000
2034,2034000,532200,199400,1150800,914500,9228800,17058800,1571500,1319800,5589500,6061200,50500,44400,44400
2035,2035000,530200,201100,1156000,918600,9257100,17200900,1582700,1330600,5663800,6114400,50800,44500,44700
2036,2036000,528100,202800,1161100,922700,9285200,17343200,1594000,1341500,5738600,6167500,51200,44500,45100
2037,2037000,526000,204600,1166100,926700,9313300,17486100,1605400,1352600,5814000,6220500,51500,44600,45500
2038,2038000,523800,206300,1171100,930700,9341600,17629900,1617000,1363900,5890000,6273600,51800,44700,45900
2039,2039000,521700,208000,1176100,934800,9370400,17774900,1628600,1375300,5966700,6326900,52100,44700,46300
2040,2040000,519500,209700,1181100,938900,9399500,17921300,1640500,1386800,6044100,6380600,52400,44800,46700
2041,2041000,517200,211400,1186200,943000,9429300,18069400,1652500,1398500,6122300,6434700,52800,44900,47100
2042,2042000,515000,213100,1191300,947200,9459700,18219200,1664700,1410400,6201300,6489500,53100,45000,47500
2043,2043000,512800,214900,1196500,951500,9490800,18370900,1677100,1422300,6281000,6544800,53400,45000,47900
2044,2044000,510600,216700,1201900,955800,9522500,18524300,1689700,1434500,6361400,6600900,53700,45100,48200
2045,2045000,508400,218400,1207300,960200,9554800,18679500,1702400,1446700,6442500,6657600,54000,45200,48600
2046,2046000,506200,220200,1212800,964700,9587600,18836400,1715300,1459100,6524100,6715100,54300,45300,49000
2047,2047000,504000,222000,1218400,969300,9620800,18994900,1728300,1471500,6606100,6773200,54700,45300,49400
2048,2048000,501800,223900,1224100,973900,9654300,19154500,1741500,1483900,6688500,6831900,55000,45400,49700
2049,2049000,499700,225700,1229900,978500,9688000,19315100,1754800,1496400,6771200,6891300,55300,45400,50100
2050,2050000,497600,227500,1235700,983100,9721700,19475700,1768100,1508900,6853900,6950700,55600,45400,50500
