"Province","FuelType","Year","TotalLDV","Car","Truck"
"Newfoundland and Labrador","Gasoline","2017",355814,137553,218261
"Newfoundland and Labrador","Gasoline","2018",346865,129358,217507
"Newfoundland and Labrador","Gasoline","2019",343582,123302,220280
"Newfoundland and Labrador","Gasoline","2020",340404,116765,223639
"Newfoundland and Labrador","Gasoline","2021",347563,112929,234634
"Newfoundland and Labrador","Gasoline","2022",350212,109408,240804
"Newfoundland and Labrador","Gasoline","2023",349414,104200,245214
"Newfoundland and Labrador","Gasoline","2024",343105,96491,246614
"Newfoundland and Labrador","Battery electric","2017",31,25,6
"Newfoundland and Labrador","Battery electric","2018",36,30,6
"Newfoundland and Labrador","Battery electric","2019",50,43,7
"Newfoundland and Labrador","Battery electric","2020",85,71,14
"Newfoundland and Labrador","Battery electric","2021",154,109,45
"Newfoundland and Labrador","Battery electric","2022",367,195,172
"Newfoundland and Labrador","Battery electric","2023",782,306,476
"Newfoundland and Labrador","Battery electric","2024",1229,360,869
"Newfoundland and Labrador","Hybrid electric","2017",657,462,195
"Newfoundland and Labrador","Hybrid electric","2018",736,510,226
"Newfoundland and Labrador","Hybrid electric","2019",1087,797,290
"Newfoundland and Labrador","Hybrid electric","2020",1097,626,471
"Newfoundland and Labrador","Hybrid electric","2021",1519,575,944
"Newfoundland and Labrador","Hybrid electric","2022",2232,617,1615
"Newfoundland and Labrador","Hybrid electric","2023",3539,727,2812
"Newfoundland and Labrador","Hybrid electric","2024",5545,941,4604
"Newfoundland and Labrador","Plug-in hybrid electric","2017",83,81,2
"Newfoundland and Labrador","Plug-in hybrid electric","2018",82,77,5
"Newfoundland and Labrador","Plug-in hybrid electric","2019",94,79,15
"Newfoundland and Labrador","Plug-in hybrid electric","2020",118,91,27
"Newfoundland and Labrador","Plug-in hybrid electric","2021",179,110,69
"Newfoundland and Labrador","Plug-in hybrid electric","2022",315,140,175
"Newfoundland and Labrador","Plug-in hybrid electric","2023",523,155,368
"Newfoundland and Labrador","Plug-in hybrid electric","2024",881,165,716
"Prince Edward Island","Gasoline","2017",100531,47617,52914
"Prince Edward Island","Gasoline","2018",101188,46578,54610
"Prince Edward Island","Gasoline","2019",98208,44141,54067
"Prince Edward Island","Gasoline","2020",96204,41619,54585
"Prince Edward Island","Gasoline","2021",104383,43290,61093
"Prince Edward Island","Gasoline","2022",101009,40628,60381
"Prince Edward Island","Gasoline","2023",102093,39631,62462
"Prince Edward Island","Gasoline","2024",103627,38657,64970
"Prince Edward Island","Battery electric","2017",14,13,1
"Prince Edward Island","Battery electric","2018",21,20,1
"Prince Edward Island","Battery electric","2019",40,38,2
"Prince Edward Island","Battery electric","2020",72,63,9
"Prince Edward Island","Battery electric","2021",225,159,66
"Prince Edward Island","Battery electric","2022",495,312,183
"Prince Edward Island","Battery electric","2023",730,397,333
"Prince Edward Island","Battery electric","2024",1038,456,582
"Prince Edward Island","Hybrid electric","2017",679,571,108
"Prince Edward Island","Hybrid electric","2018",698,564,134
"Prince Edward Island","Hybrid electric","2019",733,592,141
"Prince Edward Island","Hybrid electric","2020",755,575,180
"Prince Edward Island","Hybrid electric","2021",1016,645,371
"Prince Edward Island","Hybrid electric","2022",1186,639,547
"Prince Edward Island","Hybrid electric","2023",1572,695,877
"Prince Edward Island","Hybrid electric","2024",2109,754,1355
"Prince Edward Island","Plug-in hybrid electric","2017",30,30,0
"Prince Edward Island","Plug-in hybrid electric","2018",37,34,3
"Prince Edward Island","Plug-in hybrid electric","2019",53,43,10
