"VehicleType","FuelType","Year","Annual_Sales"
"Multi-purpose vehicles","Battery electric",2017,2426
"Multi-purpose vehicles","Battery electric",2018,2668
"Multi-purpose vehicles","Battery electric",2019,7517
"Multi-purpose vehicles","Battery electric",2020,13552
"Multi-purpose vehicles","Battery electric",2021,30903
"Multi-purpose vehicles","Battery electric",2022,54710
"Multi-purpose vehicles","Battery electric",2023,100125
"Multi-purpose vehicles","Battery electric",2024,155347
"Multi-purpose vehicles","Diesel",2017,4349
"Multi-purpose vehicles","Diesel",2018,6052
"Multi-purpose vehicles","Diesel",2019,2618
"Multi-purpose vehicles","Diesel",2020,1437
"Multi-purpose vehicles","Diesel",2021,3103
"Multi-purpose vehicles","Diesel",2022,3168
"Multi-purpose vehicles","Diesel",2023,5142
"Multi-purpose vehicles","Diesel",2024,4986
"Multi-purpose vehicles","Gasoline",2017,839766
"Multi-purpose vehicles","Gasoline",2018,866705
"Multi-purpose vehicles","Gasoline",2019,893040
"Multi-purpose vehicles","Gasoline",2020,733058
"Multi-purpose vehicles","Gasoline",2021,817988
"Multi-purpose vehicles","Gasoline",2022,723476
"Multi-purpose vehicles","Gasoline",2023,781913
"Multi-purpose vehicles","Gasoline",2024,833914
"Multi-purpose vehicles","Hybrid electric",2017,10601
"Multi-purpose vehicles","Hybrid electric",2018,13076
"Multi-purpose vehicles","Hybrid electric",2019,19475
"Multi-purpose vehicles","Hybrid electric",2020,29047
"Multi-purpose vehicles","Hybrid electric",2021,45006
"Multi-purpose vehicles","Hybrid electric",2022,47596
"Multi-purpose vehicles","Hybrid electric",2023,96420
"Multi-purpose vehicles","Hybrid electric",2024,110602
"Multi-purpose vehicles","Other fuel types",2017,0
"Multi-purpose vehicles","Other fuel types",2018,1
"Multi-purpose vehicles","Other fuel types",2019,9
"Multi-purpose vehicles","Other fuel types",2020,6
"Multi-purpose vehicles","Other fuel types",2021,0
"Multi-purpose vehicles","Other fuel types",2022,1
"Multi-purpose vehicles","Other fuel types",2023,0
"Multi-purpose vehicles","Other fuel types",2024,0
"Multi-purpose vehicles","Plug-in hybrid electric",2017,1050
"Multi-purpose vehicles","Plug-in hybrid electric",2018,6483
"Multi-purpose vehicles","Plug-in hybrid electric",2019,6316
"Multi-purpose vehicles","Plug-in hybrid electric",2020,6030
"Multi-purpose vehicles","Plug-in hybrid electric",2021,17926
"Multi-purpose vehicles","Plug-in hybrid electric",2022,18873
"Multi-purpose vehicles","Plug-in hybrid electric",2023,39961
"Multi-purpose vehicles","Plug-in hybrid electric",2024,61626
"Passenger cars","Battery electric",2017,6660
"Passenger cars","Battery electric",2018,19914
"Passenger cars","Battery electric",2019,28033
"Passenger cars","Battery electric",2020,25494
"Passenger cars","Battery electric",2021,28230
"Passenger cars","Battery electric",2022,40552
"Passenger cars","Battery electric",2023,34878
"Passenger cars","Battery electric",2024,31467
"Passenger cars","Diesel",2017,1598
"Passenger cars","Diesel",2018,1556
"Passenger cars","Diesel",2019,406
"Passenger cars","Diesel",2020,47
"Passenger cars","Diesel",2021,1
"Passenger cars","Diesel",2022,0
"Passenger cars","Diesel",2023,0
"Passenger cars","Diesel",2024,0
"Passenger cars","Gasoline",2017,599872
"Passenger cars","Gasoline",2018,526150
"Passenger cars","Gasoline",2019,437435
"Passenger cars","Gasoline",2020,274338
"Passenger cars","Gasoline",2021,270347
"Passenger cars","Gasoline",2022,208698
"Passenger cars","Gasoline",2023,197723
