"Province","Total_Car","Total_Truck","type_share_Car","type_share_Truck"
"Alberta",903980,2071394,0.30382062893606,0.69617937106394
"British Columbia",1172988,1798915,0.394692558942873,0.605307441057127
"Manitoba",255218,514853,0.331421388417432,0.668578611582568
"New Brunswick",217273,315187,0.408055065169215,0.591944934830785
"Newfoundland and Labrador",117553,224151,0.344019970500784,0.655980029499216
"Northwest Territories",3685,17954,0.170294375895374,0.829705624104626
"Nova Scotia",262747,327447,0.445187514613839,0.554812485386161
"Nunavut",0,0,NA,NA
"Ontario",3630289,4956209,0.42279040884887,0.577209591151131
"Prince Edward Island",42313,54793,0.435740325005664,0.564259674994336
"Quebec",2727568,2665575,0.505747390714468,0.494252609285532
"Saskatchewan",210895,552692,0.27618987751232,0.72381012248768
"Yukon",8751,24133,0.266117260673884,0.733882739326116
