State,Reg Year,Fraction_BEV,Fraction_PHEV,Fraction_FCEV
Alabama,2014,0.0017838030681412772,0.003543307086614173,0
Alaska,2014,7.135212272565109e-4,7.874015748031496e-4,0
Arizona,2014,0.016767748840528007,0.01732283464566929,0
Arkansas,2014,7.135212272565109e-4,0.001968503937007874,0
California,2014,0.5048162682839814,0.4594488188976378,1
Colorado,2014,0.01890831252229754,0.014960629921259842,0
Connecticut,2014,0.007135212272565109,0.011023622047244094,0
Delaware,2014,0.0010702818408847663,0.0027559055118110236,0
District of Columbia,2014,0.0021405636817695326,0.001968503937007874,0
Florida,2014,0.04138423118087763,0.03976377952755906,0
Georgia,2014,0.06421691045308597,0.015748031496062992,0
Hawaii,2014,0.014983945772386728,0.004724409448818898,0
Idaho,2014,0.0014270424545130217,0.002362204724409449,0
Illinois,2014,0.020692115590438816,0.023622047244094488,0
Indiana,2014,0.00463788797716732,0.009448818897637795,0
Iowa,2014,0.0014270424545130217,0.004724409448818898,0
Kansas,2014,0.0021405636817695326,0.003937007874015748,0
Kentucky,2014,0.0017838030681412772,0.003543307086614173,0
Louisiana,2014,0.0014270424545130217,0.001968503937007874,0
Maine,2014,0.0010702818408847663,0.003937007874015748,0
Maryland,2014,0.011416339636104174,0.01968503937007874,0
Massachusetts,2014,0.012843382090617196,0.02047244094488189,0
Michigan,2014,0.005708169818052087,0.045669291338582677,0
Minnesota,2014,0.005708169818052087,0.009448818897637795,0
Mississippi,2014,3.5676061362825543e-4,7.874015748031496e-4,0
Missouri,2014,0.0049946485907955765,0.00826771653543307,0
Montana,2014,7.135212272565109e-4,7.874015748031496e-4,0
Nebraska,2014,0.0010702818408847663,0.002362204724409449,0
Nevada,2014,0.007135212272565109,0.005511811023622047,0
New Hampshire,2014,0.0014270424545130217,0.003937007874015748,0
New Jersey,2014,0.014983945772386728,0.021653543307086614,0
New Mexico,2014,0.0017838030681412772,0.002362204724409449,0
New York,2014,0.02176239743132358,0.047637795275590554,0
North Carolina,2014,0.010346057795219408,0.014173228346456693,0
North Dakota,2014,0,3.937007874015748e-4,0
