Sale Year,Battery kWh,Cathode Mix,Propulsion,Global Segment,Total Sales,Total Mwh
2014,102,NMC (unspecified),BEV,SUV,0,0
2015,102,NMC (unspecified),BEV,SUV,0,0
2016,102,NMC (unspecified),BEV,SUV,0,0
2017,102,NMC (unspecified),BEV,SUV,0,0
2018,102,NMC (unspecified),BEV,SUV,0,0
2019,102,NMC (unspecified),BEV,SUV,0,0
2020,102,NMC (unspecified),BEV,SUV,0,0
2021,102,NMC (unspecified),BEV,SUV,0,0
2022,102,NMC (unspecified),BEV,SUV,0,0
2023,102,NMC (unspecified),BEV,SUV,0,0
2024,102,NMC (unspecified),BEV,SUV,7391,753.882
2025,102,NMC (unspecified),BEV,SUV,1384,141.168
2014,15.5,NMC (unspecified),PHEV,SUV,0,0
2015,15.5,NMC (unspecified),PHEV,SUV,0,0
2016,15.5,NMC (unspecified),PHEV,SUV,0,0
2017,15.5,NMC (unspecified),PHEV,SUV,0,0
2018,15.5,NMC (unspecified),PHEV,SUV,0,0
2019,15.5,NMC (unspecified),PHEV,SUV,0,0
2020,15.5,NMC (unspecified),PHEV,SUV,0,0
2021,15.5,NMC (unspecified),PHEV,SUV,0,0
2022,15.5,NMC (unspecified),PHEV,SUV,0,0
2023,15.5,NMC (unspecified),PHEV,SUV,2096,32.488
2024,15.5,NMC (unspecified),PHEV,SUV,3383,52.4365
2025,15.5,NMC (unspecified),PHEV,SUV,176,2.728
2014,8.8,NMC 111,PHEV,Car,0,0
2015,8.8,NMC 111,PHEV,Car,49,0.43120000000000003
2016,8.8,NMC 111,PHEV,Car,4285,37.708
2017,8.8,NMC 111,PHEV,Car,2877,25.3176
2018,8.8,NMC 111,PHEV,Car,2391,21.040799999999997
2019,8.8,NMC 111,PHEV,Car,40,0.352
2020,8.8,NMC 111,PHEV,Car,0,0
2021,8.8,NMC 111,PHEV,Car,0,0
2022,8.8,NMC 111,PHEV,Car,0,0
2023,8.8,NMC 111,PHEV,Car,0,0
2024,8.8,NMC 111,PHEV,Car,0,0
2025,8.8,NMC 111,PHEV,Car,0,0
2014,14.1,NMC 622,PHEV,Car,0,0
2015,14.1,NMC 622,PHEV,Car,0,0
2016,14.1,NMC 622,PHEV,Car,0,0
2017,14.1,NMC 622,PHEV,Car,0,0
2018,14.1,NMC 622,PHEV,Car,0,0
2019,14.1,NMC 622,PHEV,Car,0,0
2020,14.1,NMC 622,PHEV,Car,19,0.26789999999999997
2021,14.1,NMC 622,PHEV,Car,556,7.8396
2022,14.1,NMC 622,PHEV,Car,0,0
2023,14.1,NMC 622,PHEV,Car,0,0
2024,14.1,NMC 622,PHEV,Car,0,0
2025,14.1,NMC 622,PHEV,Car,0,0
2014,17.9,NMC (unspecified),PHEV,Car,0,0
2015,17.9,NMC (unspecified),PHEV,Car,0,0
2016,17.9,NMC (unspecified),PHEV,Car,0,0
2017,17.9,NMC (unspecified),PHEV,Car,0,0
2018,17.9,NMC (unspecified),PHEV,Car,0,0
2019,17.9,NMC (unspecified),PHEV,Car,0,0
2020,17.9,NMC (unspecified),PHEV,Car,0,0
2021,17.9,NMC (unspecified),PHEV,Car,32,0.5728
2022,17.9,NMC (unspecified),PHEV,Car,5,0.0895
2023,17.9,NMC (unspecified),PHEV,Car,1,0.0179
2024,17.9,NMC (unspecified),PHEV,Car,0,0
2025,17.9,NMC (unspecified),PHEV,Car,0,0
2014,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2015,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2016,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2017,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2018,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2019,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2020,"14,1 / 17,9",NMC (unspecified),PHEV,Car,113,1.5933
2021,"14,1 / 17,9",NMC (unspecified),PHEV,Car,56,0.7896
2022,"14,1 / 17,9",NMC (unspecified),PHEV,Car,1,0.0179
2023,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2024,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2025,"14,1 / 17,9",NMC (unspecified),PHEV,Car,0,0
2014,93.4,NMC 622,BEV,Car,0,0
2015,93.4,NMC 622,BEV,Car,0,0
2016,93.4,NMC 622,BEV,Car,0,0
2017,93.4,NMC 622,BEV,Car,0,0
2018,93.4,NMC 622,BEV,Car,0,0
2019,93.4,NMC 622,BEV,Car,0,0
2020,93.4,NMC 622,BEV,Car,0,0
2021,93.4,NMC 622,BEV,Car,1226,114.5084
2022,93.4,NMC 622,BEV,Car,2275,212.48499999999999
2023,93.4,NMC 622,BEV,Car,3202,299.0668
2024,93.4,NMC 622,BEV,Car,2894,270.29959999999994
2025,93.4,NMC 622,BEV,Car,76,7.0984
2014,95,NMC 622,BEV,SUV,0,0
2015,95,NMC 622,BEV,SUV,0,0
2016,95,NMC 622,BEV,SUV,0,0
2017,95,NMC 622,BEV,SUV,0,0
2018,95,NMC 622,BEV,SUV,0,0
2019,95,NMC 622,BEV,SUV,5369,510.055
2020,95,NMC 622,BEV,SUV,7202,684.19
2021,95,NMC 622,BEV,SUV,555,52.724999999999994
2022,95,NMC 622,BEV,SUV,0,0
2023,95,NMC 622,BEV,SUV,0,0
2024,95,NMC 622,BEV,SUV,0,0
2025,95,NMC 622,BEV,SUV,0,0
2014,"71,5 / 95,0",NMC (unspecified),BEV,SUV,0,0
2015,"71,5 / 95,0",NMC (unspecified),BEV,SUV,0,0
2016,"71,5 / 95,0",NMC (unspecified),BEV,SUV,0,0
2017,"71,5 / 95,0",NMC (unspecified),BEV,SUV,0,0
2018,"71,5 / 95,0",NMC (unspecified),BEV,SUV,0,0
2019,"71,5 / 95,0",NMC (unspecified),BEV,SUV,0,0
2020,"71,5 / 95,0",NMC (unspecified),BEV,SUV,0,0
