Age,Type,mu,b,Survival
0,Car,16,4,0.9820137900379085
0,Truck,19,4.5,0.9855459659936133
1,Car,16,4,0.9770226300899744
1,Truck,19,4.5,0.9820137900379085
2,Car,16,4,0.9706877692486436
2,Truck,19,4.5,0.9776380308064557
3,Car,16,4,0.9626731126558706
3,Truck,19,4.5,0.9722278252938079
4,Car,16,4,0.9525741268224334
4,Truck,19,4.5,0.9655548043337889
5,Car,16,4,0.9399133498259924
5,Truck,19,4.5,0.9573487478690571
6,Car,16,4,0.9241418199787566
6,Truck,19,4.5,0.9472944339171098
7,Car,16,4,0.9046505351008906
7,Truck,19,4.5,0.935030830871336
8,Car,16,4,0.8807970779778823
8,Truck,19,4.5,0.9201542333853858
9,Car,16,4,0.8519528019683106
9,Truck,19,4.5,0.9022274001492008
10,Car,16,4,0.8175744761936437
10,Truck,19,4.5,0.8807970779778823
11,Car,16,4,0.7772998611746911
11,Truck,19,4.5,0.8554222495341228
12,Car,16,4,0.7310585786300049
12,Truck,19,4.5,0.8257146788214146
13,Car,16,4,0.679178699175393
13,Truck,19,4.5,0.791391472673955
14,Car,16,4,0.6224593312018546
14,Truck,19,4.5,0.7523361988609284
15,Car,16,4,0.5621765008857981
15,Truck,19,4.5,0.7086608250294356
16,Car,16,4,0.5
16,Truck,19,4.5,0.6607563687658172
17,Car,16,4,0.43782349911420193
17,Truck,19,4.5,0.6093175418435606
18,Car,16,4,0.3775406687981454
18,Truck,19,4.5,0.555328055262369
19,Car,16,4,0.320821300824607
19,Truck,19,4.5,0.5
20,Car,16,4,0.2689414213699951
20,Truck,19,4.5,0.44467194473763105
21,Car,16,4,0.22270013882530884
21,Truck,19,4.5,0.3906824581564393
22,Car,16,4,0.18242552380635635
22,Truck,19,4.5,0.33924363123418283
23,Car,16,4,0.14804719803168948
23,Truck,19,4.5,0.29133917497056444
24,Car,16,4,0.11920292202211755
24,Truck,19,4.5,0.24766380113907163
25,Car,16,4,0.09534946489910949
25,Truck,19,4.5,0.20860852732604496
26,Car,16,4,0.07585818002124355
26,Truck,19,4.5,0.17428532117858545
27,Car,16,4,0.060086650174007626
27,Truck,19,4.5,0.14457775046587726
28,Car,16,4,0.04742587317756678
28,Truck,19,4.5,0.11920292202211755
29,Car,16,4,0.03732688734412946
29,Truck,19,4.5,0.09777259985079931
30,Car,16,4,0.02931223075135632
30,Truck,19,4.5,0.07984576661461423
31,Car,16,4,0.022977369910025615
31,Truck,19,4.5,0.06496916912866407
32,Car,16,4,0.01798620996209156
32,Truck,19,4.5,0.05270556608289024
33,Car,16,4,0.014063627043245475
33,Truck,19,4.5,0.042651252130942854
34,Car,16,4,0.01098694263059318
34,Truck,19,4.5,0.03444519566621117
35,Car,16,4,0.008577485413711984
35,Truck,19,4.5,0.027772174706191984
36,Car,16,4,0.0066928509242848554
36,Truck,19,4.5,0.022361969193544173
37,Car,16,4,0.005220125693558397
37,Truck,19,4.5,0.01798620996209156
38,Car,16,4,0.004070137715896128
38,Truck,19,4.5,0.014454034006386568
39,Car,16,4,0.0031726828424851893
39,Truck,19,4.5,0.011607316445304631
40,Car,16,4,0.0024726231566347743
40,Truck,19,4.5,0.009315959345066686
41,Car,16,4,0.0019267346633274757
41,Truck,19,4.5,0.007473510335193645
42,Car,16,4,0.0015011822567369917
42,Truck,19,4.5,0.005993244342482293
43,Car,16,4,0.0011695102650555148
43,Truck,19,4.5,0.004804752887159518
44,Car,16,4,9.110511944006454e-4
44,Truck,19,4.5,0.003851032355930255
45,Car,16,4,7.096703991005881e-4
45,Truck,19,4.5,0.0030860337668107457
46,Car,16,4,5.527786369235996e-4
46,Truck,19,4.5,0.0024726231566347743
47,Car,16,4,4.305570813246149e-4
47,Truck,19,4.5,0.0019808978357979267
48,Car,16,4,3.353501304664781e-4
48,Truck,19,4.5,0.0015868053304513101
49,Car,16,4,2.611903190957194e-4
49,Truck,19,4.5,0.001271016263081358
50,Car,16,4,2.0342697805520653e-4
50,Truck,19,4.5,0.0010180080884028542
