State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Alabama,2020,BEV,814.613712938006,ACCII,US,0.814613712938006,AL,BEV.ACCII
Alabama,2020,PHEV,287.653390088173,ACCII,US,0.28765339008817303,AL,PHEV.ACCII
Alabama,2020,ICE,175973,ACCII,US,175.973,AL,ICE.ACCII
Alabama,2021,BEV,1705.51520251318,ACCII,US,1.70551520251318,AL,BEV.ACCII
Alabama,2021,PHEV,880.025662778367,ACCII,US,0.8800256627783669,AL,PHEV.ACCII
Alabama,2021,ICE,184213,ACCII,US,184.213,AL,ICE.ACCII
Alabama,2022,BEV,2987.16962370833,ACCII,US,2.98716962370833,AL,BEV.ACCII
Alabama,2022,PHEV,986.902502686934,ACCII,US,0.986902502686934,AL,PHEV.ACCII
Alabama,2022,ICE,175709,ACCII,US,175.709,AL,ICE.ACCII
Alabama,2023,BEV,4435.16939938242,ACCII,US,4.43516939938242,AL,BEV.ACCII
Alabama,2023,PHEV,1456.88365867262,ACCII,US,1.45688365867262,AL,PHEV.ACCII
Alabama,2023,ICE,187489,ACCII,US,187.489,AL,ICE.ACCII
Alabama,2024,BEV,5004.80494063411,ACCII,US,5.004804940634109,AL,BEV.ACCII
Alabama,2024,PHEV,1677.14779698829,ACCII,US,1.6771477969882902,AL,PHEV.ACCII
Alabama,2024,ICE,184103,ACCII,US,184.103,AL,ICE.ACCII
Alabama,2025,BEV,18500.3089658181,ACCII,US,18.500308965818103,AL,BEV.ACCII
Alabama,2025,PHEV,4107.72955337431,ACCII,US,4.10772955337431,AL,PHEV.ACCII
Alabama,2025,ICE,210330.391909791,ACCII,US,210.33039190979102,AL,ICE.ACCII
Alabama,2026,BEV,24211.1146486597,ACCII,US,24.2111146486597,AL,BEV.ACCII
Alabama,2026,PHEV,5363.42691636232,ACCII,US,5.363426916362321,AL,PHEV.ACCII
Alabama,2026,ICE,199171.291073543,ACCII,US,199.171291073543,AL,ICE.ACCII
Alabama,2027,BEV,31582.4116348864,ACCII,US,31.5824116348864,AL,BEV.ACCII
Alabama,2027,PHEV,7700.66275950052,ACCII,US,7.700662759500521,AL,PHEV.ACCII
Alabama,2027,ICE,185709.46972282,ACCII,US,185.70946972282002,AL,ICE.ACCII
Alabama,2028,BEV,39039.5733281538,ACCII,US,39.0395733281538,AL,BEV.ACCII
Alabama,2028,PHEV,7991.49471417688,ACCII,US,7.99149471417688,AL,PHEV.ACCII
Alabama,2028,ICE,174580.098408314,ACCII,US,174.580098408314,AL,ICE.ACCII
Alabama,2029,BEV,46275.7823187425,ACCII,US,46.2757823187425,AL,BEV.ACCII
Alabama,2029,PHEV,10248.7822546367,ACCII,US,10.248782254636701,AL,PHEV.ACCII
Alabama,2029,ICE,162030.767413902,ACCII,US,162.030767413902,AL,ICE.ACCII
Alabama,2030,BEV,53704.2677750823,ACCII,US,53.7042677750823,AL,BEV.ACCII
Alabama,2030,PHEV,11425.4284643949,ACCII,US,11.4254284643949,AL,PHEV.ACCII
Alabama,2030,ICE,150665.904968586,ACCII,US,150.665904968586,AL,ICE.ACCII
Alabama,2031,BEV,58768.5606882961,ACCII,US,58.7685606882961,AL,BEV.ACCII
Alabama,2031,PHEV,13395.2568292302,ACCII,US,13.3952568292302,AL,PHEV.ACCII
Alabama,2031,ICE,130672.816135775,ACCII,US,130.672816135775,AL,ICE.ACCII
Alabama,2032,BEV,65729.1130198938,ACCII,US,65.7291130198938,AL,BEV.ACCII
Alabama,2032,PHEV,15709.5337778091,ACCII,US,15.7095337778091,AL,PHEV.ACCII
Alabama,2032,ICE,119074.321302828,ACCII,US,119.074321302828,AL,ICE.ACCII
Alabama,2033,BEV,77074.812731099,ACCII,US,77.074812731099,AL,BEV.ACCII
Alabama,2033,PHEV,17279.6380398846,ACCII,US,17.279638039884603,AL,PHEV.ACCII
Alabama,2033,ICE,104159.916829219,ACCII,US,104.159916829219,AL,ICE.ACCII
Alabama,2034,BEV,82956.8142630298,ACCII,US,82.9568142630298,AL,BEV.ACCII
Alabama,2034,PHEV,17704.0468673547,ACCII,US,17.704046867354702,AL,PHEV.ACCII
Alabama,2034,ICE,96203.3901251391,ACCII,US,96.20339012513911,AL,ICE.ACCII
Alabama,2035,BEV,88143.6216280134,ACCII,US,88.14362162801339,AL,BEV.ACCII
Alabama,2035,PHEV,17780.7353398347,ACCII,US,17.7807353398347,AL,PHEV.ACCII
Alabama,2035,ICE,89747.7931606923,ACCII,US,89.7477931606923,AL,ICE.ACCII
Alabama,2036,BEV,92725.2721232701,ACCII,US,92.7252721232701,AL,BEV.ACCII
Alabama,2036,PHEV,17711.9785208875,ACCII,US,17.7119785208875,AL,PHEV.ACCII
Alabama,2036,ICE,84484.8005949756,ACCII,US,84.48480059497561,AL,ICE.ACCII
Alabama,2037,BEV,97220.7209947162,ACCII,US,97.2207209947162,AL,BEV.ACCII
Alabama,2037,PHEV,17609.0848989646,ACCII,US,17.6090848989646,AL,PHEV.ACCII
Alabama,2037,ICE,80739.490707049,ACCII,US,80.739490707049,AL,ICE.ACCII
Alabama,2038,BEV,101703.556098308,ACCII,US,101.70355609830801,AL,BEV.ACCII
Alabama,2038,PHEV,17491.7476036186,ACCII,US,17.491747603618602,AL,PHEV.ACCII
Alabama,2038,ICE,78020.0701628943,ACCII,US,78.0200701628943,AL,ICE.ACCII
Alabama,2039,BEV,106399.153569018,ACCII,US,106.399153569018,AL,BEV.ACCII
Alabama,2039,PHEV,17428.3679246013,ACCII,US,17.4283679246013,AL,PHEV.ACCII
Alabama,2039,ICE,76194.4163082463,ACCII,US,76.1944163082463,AL,ICE.ACCII
Alabama,2040,BEV,111091.069584067,ACCII,US,111.091069584067,AL,BEV.ACCII
Alabama,2040,PHEV,17400.786938833,ACCII,US,17.400786938833,AL,PHEV.ACCII
Alabama,2040,ICE,75195.7521823777,ACCII,US,75.1957521823777,AL,ICE.ACCII
Alabama,2041,BEV,113230.447608988,ACCII,US,113.230447608988,AL,BEV.ACCII
Alabama,2041,PHEV,17030.5102393993,ACCII,US,17.0305102393993,AL,PHEV.ACCII
Alabama,2041,ICE,73002.1799605058,ACCII,US,73.0021799605058,AL,ICE.ACCII
Alabama,2042,BEV,117996.132381273,ACCII,US,117.996132381273,AL,BEV.ACCII
Alabama,2042,PHEV,17089.0213749543,ACCII,US,17.0890213749543,AL,PHEV.ACCII
Alabama,2042,ICE,72784.9902061595,ACCII,US,72.7849902061595,AL,ICE.ACCII
Alabama,2043,BEV,122405.500266363,ACCII,US,122.405500266363,AL,BEV.ACCII
Alabama,2043,PHEV,17131.1745635634,ACCII,US,17.1311745635634,AL,PHEV.ACCII
Alabama,2043,ICE,72744.7684396516,ACCII,US,72.7447684396516,AL,ICE.ACCII
Alabama,2044,BEV,126653.003262016,ACCII,US,126.653003262016,AL,BEV.ACCII
Alabama,2044,PHEV,17152.6398666551,ACCII,US,17.1526398666551,AL,PHEV.ACCII
Alabama,2044,ICE,72585.0184539316,ACCII,US,72.5850184539316,AL,ICE.ACCII
Alabama,2045,BEV,130634.20233665,ACCII,US,130.63420233665002,AL,BEV.ACCII
Alabama,2045,PHEV,17167.7800835985,ACCII,US,17.1677800835985,AL,PHEV.ACCII
Alabama,2045,ICE,72522.4754923506,ACCII,US,72.5224754923506,AL,ICE.ACCII
Alabama,2046,BEV,134193.312377108,ACCII,US,134.193312377108,AL,BEV.ACCII
Alabama,2046,PHEV,17124.8976232158,ACCII,US,17.124897623215798,AL,PHEV.ACCII
Alabama,2046,ICE,72371.3549197127,ACCII,US,72.3713549197127,AL,ICE.ACCII
Alabama,2047,BEV,137282.022639845,ACCII,US,137.282022639845,AL,BEV.ACCII
Alabama,2047,PHEV,17050.6375986398,ACCII,US,17.050637598639803,AL,PHEV.ACCII
Alabama,2047,ICE,72077.0182743111,ACCII,US,72.0770182743111,AL,ICE.ACCII
Alabama,2048,BEV,140019.856752387,ACCII,US,140.019856752387,AL,BEV.ACCII
Alabama,2048,PHEV,16932.3656413329,ACCII,US,16.9323656413329,AL,PHEV.ACCII
