Year,Scenario,Powertrain,Value,Value_thousands,Group,Flow
2020,ACCII,BEV,89400,89.4,BEV_ACCII,New sales
2020,ACCII,PHEV,26644,26.644,PHEV_ACCII,New sales
2020,ACCII,ICE,1371700,1371.7,ICE_ACCII,New sales
2021,ACCII,BEV,160313,160.313,BEV_ACCII,New sales
2021,ACCII,PHEV,52605,52.605,PHEV_ACCII,New sales
2021,ACCII,ICE,1463602,1463.602,ICE_ACCII,New sales
2022,ACCII,BEV,262668,262.668,BEV_ACCII,New sales
2022,ACCII,PHEV,43200,43.2,PHEV_ACCII,New sales
2022,ACCII,ICE,1262686,1262.686,ICE_ACCII,New sales
2023,ACCII,BEV,374385,374.385,BEV_ACCII,New sales
2023,ACCII,PHEV,62775,62.775,PHEV_ACCII,New sales
2023,ACCII,ICE,1311480,1311.48,ICE_ACCII,New sales
2024,ACCII,BEV,378910,378.91,BEV_ACCII,New sales
2024,ACCII,PHEV,63864,63.864,PHEV_ACCII,New sales
2024,ACCII,ICE,1307122,1307.122,ICE_ACCII,New sales
2025,ACCII,BEV,702086,702.086,BEV_ACCII,New sales
2025,ACCII,PHEV,114650,114.65,PHEV_ACCII,New sales
2025,ACCII,ICE,1374899,1374.899,ICE_ACCII,New sales
2026,ACCII,BEV,535649.468938899,535.649468938899,BEV_ACCII,New sales
2026,ACCII,PHEV,94374.2201203748,94.3742201203748,PHEV_ACCII,New sales
2026,ACCII,ICE,1170094.07718897,1170.09407718897,ICE_ACCII,New sales
2027,ACCII,BEV,645059.090974023,645.059090974023,BEV_ACCII,New sales
2027,ACCII,PHEV,131362.664001127,131.362664001127,PHEV_ACCII,New sales
2027,ACCII,ICE,1029256.10254753,1029.25610254753,ICE_ACCII,New sales
2028,ACCII,BEV,790467.900055768,790.4679000557679,BEV_ACCII,New sales
2028,ACCII,PHEV,134300.055804341,134.300055804341,PHEV_ACCII,New sales
2028,ACCII,ICE,888545.581747967,888.545581747967,ICE_ACCII,New sales
2029,ACCII,BEV,909132.892754325,909.132892754325,BEV_ACCII,New sales
2029,ACCII,PHEV,166062.73600921,166.06273600921,PHEV_ACCII,New sales
2029,ACCII,ICE,747209.9934652,747.2099934652,ICE_ACCII,New sales
2030,ACCII,BEV,1059193.00433614,1059.19300433614,BEV_ACCII,New sales
2030,ACCII,PHEV,187957.937242493,187.95793724249302,PHEV_ACCII,New sales
2030,ACCII,ICE,586936.164933859,586.936164933859,ICE_ACCII,New sales
2031,ACCII,BEV,1126813.95022324,1126.81395022324,BEV_ACCII,New sales
2031,ACCII,PHEV,216872.043137887,216.872043137887,PHEV_ACCII,New sales
2031,ACCII,ICE,424364.332756653,424.364332756653,ICE_ACCII,New sales
2032,ACCII,BEV,1206981.45469563,1206.98145469563,BEV_ACCII,New sales
2032,ACCII,PHEV,246376.612276188,246.376612276188,PHEV_ACCII,New sales
2032,ACCII,ICE,319070.015178643,319.070015178643,ICE_ACCII,New sales
2033,ACCII,BEV,1298322.21111764,1298.3222111176399,BEV_ACCII,New sales
2033,ACCII,PHEV,266765.526418178,266.765526418178,PHEV_ACCII,New sales
2033,ACCII,ICE,213464.645183615,213.464645183615,ICE_ACCII,New sales
2034,ACCII,BEV,1404720.30235119,1404.72030235119,BEV_ACCII,New sales
2034,ACCII,PHEV,275263.194996972,275.263194996972,PHEV_ACCII,New sales
2034,ACCII,ICE,107282.763790046,107.28276379004599,ICE_ACCII,New sales
2035,ACCII,BEV,1520582.29336271,1520.5822933627098,BEV_ACCII,New sales
2035,ACCII,PHEV,282211.744859598,282.211744859598,PHEV_ACCII,New sales
2035,ACCII,ICE,57.8388091807922,0.0578388091807922,ICE_ACCII,New sales
2036,ACCII,BEV,1546365.37281982,1546.3653728198199,BEV_ACCII,New sales
2036,ACCII,PHEV,272497.589110928,272.497589110928,PHEV_ACCII,New sales
2036,ACCII,ICE,65.0468673654204,0.0650468673654204,ICE_ACCII,New sales
2037,ACCII,BEV,1591718.7276155,1591.7187276155,BEV_ACCII,New sales
2037,ACCII,PHEV,266279.782456481,266.27978245648103,PHEV_ACCII,New sales
2037,ACCII,ICE,70.8021437572147,0.07080214375721469,ICE_ACCII,New sales
2038,ACCII,BEV,1627988.58781771,1627.98858781771,BEV_ACCII,New sales
2038,ACCII,PHEV,259009.481725644,259.009481725644,PHEV_ACCII,New sales
2038,ACCII,ICE,78.6118837554735,0.0786118837554735,ICE_ACCII,New sales
2039,ACCII,BEV,1667878.69797485,1667.87869797485,BEV_ACCII,New sales
2039,ACCII,PHEV,253275.497968296,253.275497968296,PHEV_ACCII,New sales
2039,ACCII,ICE,84.3624967062926,0.0843624967062926,ICE_ACCII,New sales
2040,ACCII,BEV,1708352.04251606,1708.35204251606,BEV_ACCII,New sales
2040,ACCII,PHEV,248555.835636402,248.55583563640198,PHEV_ACCII,New sales
2040,ACCII,ICE,92.6464644151025,0.0926464644151025,ICE_ACCII,New sales
2041,ACCII,BEV,1715276.02855605,1715.27602855605,BEV_ACCII,New sales
2041,ACCII,PHEV,240080.269737846,240.080269737846,PHEV_ACCII,New sales
2041,ACCII,ICE,96.7529171276387,0.0967529171276387,ICE_ACCII,New sales
2042,ACCII,BEV,1758596.19599119,1758.59619599119,BEV_ACCII,New sales
2042,ACCII,PHEV,237512.81830092,237.51281830091997,PHEV_ACCII,New sales
2042,ACCII,ICE,102.944607630846,0.102944607630846,ICE_ACCII,New sales
2043,ACCII,BEV,1801389.22050938,1801.38922050938,BEV_ACCII,New sales
2043,ACCII,PHEV,235480.892851142,235.48089285114202,PHEV_ACCII,New sales
2043,ACCII,ICE,109.268418900994,0.10926841890099401,ICE_ACCII,New sales
2044,ACCII,BEV,1844441.48884203,1844.4414888420301,BEV_ACCII,New sales
2044,ACCII,PHEV,233813.601862841,233.81360186284098,PHEV_ACCII,New sales
2044,ACCII,ICE,115.705725197244,0.11570572519724401,ICE_ACCII,New sales
2045,ACCII,BEV,1886410.41117179,1886.41041117179,BEV_ACCII,New sales
2045,ACCII,PHEV,232339.968708202,232.339968708202,PHEV_ACCII,New sales
2045,ACCII,ICE,122.142230499676,0.122142230499676,ICE_ACCII,New sales
2046,ACCII,BEV,1927857.36326967,1927.85736326967,BEV_ACCII,New sales
2046,ACCII,PHEV,228971.62648102,228.97162648102,PHEV_ACCII,New sales
2046,ACCII,ICE,125.802943325707,0.12580294332570702,ICE_ACCII,New sales
2047,ACCII,BEV,1964447.74609911,1964.44774609911,BEV_ACCII,New sales
2047,ACCII,PHEV,227376.584302401,227.376584302401,PHEV_ACCII,New sales
2047,ACCII,ICE,131.80801790706,0.13180801790705998,ICE_ACCII,New sales
2048,ACCII,BEV,1992260.49319561,1992.2604931956098,BEV_ACCII,New sales
2048,ACCII,PHEV,224912.535308959,224.91253530895898,PHEV_ACCII,New sales
2048,ACCII,ICE,134.637854120855,0.134637854120855,ICE_ACCII,New sales
2049,ACCII,BEV,2012046.41436214,2012.04641436214,BEV_ACCII,New sales
2049,ACCII,PHEV,221803.477376012,221.80347737601198,PHEV_ACCII,New sales
2049,ACCII,ICE,136.923700436082,0.13692370043608199,ICE_ACCII,New sales
2050,ACCII,BEV,2023319.47036905,2023.3194703690501,BEV_ACCII,New sales
2050,ACCII,PHEV,217850.301324616,217.850301324616,PHEV_ACCII,New sales
2050,ACCII,ICE,138.50329979708,0.13850329979707998,ICE_ACCII,New sales
2020,Repeal,BEV,89400,89.4,BEV_Repeal,New sales
2020,Repeal,PHEV,26644,26.644,PHEV_Repeal,New sales
2020,Repeal,ICE,1371700,1371.7,ICE_Repeal,New sales
2021,Repeal,BEV,160313,160.313,BEV_Repeal,New sales
2021,Repeal,PHEV,52605,52.605,PHEV_Repeal,New sales
2021,Repeal,ICE,1463602,1463.602,ICE_Repeal,New sales
2022,Repeal,BEV,262668,262.668,BEV_Repeal,New sales
2022,Repeal,PHEV,43200,43.2,PHEV_Repeal,New sales
2022,Repeal,ICE,1262686,1262.686,ICE_Repeal,New sales
2023,Repeal,BEV,374385,374.385,BEV_Repeal,New sales
2023,Repeal,PHEV,62775,62.775,PHEV_Repeal,New sales
2023,Repeal,ICE,1311480,1311.48,ICE_Repeal,New sales
2024,Repeal,BEV,378910,378.91,BEV_Repeal,New sales
2024,Repeal,PHEV,63864,63.864,PHEV_Repeal,New sales
2024,Repeal,ICE,1307122,1307.122,ICE_Repeal,New sales
2025,Repeal,BEV,702086,702.086,BEV_Repeal,New sales
2025,Repeal,PHEV,114650,114.65,PHEV_Repeal,New sales
2025,Repeal,ICE,1374899,1374.899,ICE_Repeal,New sales
2026,Repeal,BEV,216518.2870994,216.5182870994,BEV_Repeal,New sales
2026,Repeal,PHEV,43487.6520872601,43.4876520872601,PHEV_Repeal,New sales
2026,Repeal,ICE,1540111.82706158,1540.11182706158,ICE_Repeal,New sales
2027,Repeal,BEV,286891.770102842,286.89177010284203,BEV_Repeal,New sales
2027,Repeal,PHEV,63641.2705588405,63.6412705588405,PHEV_Repeal,New sales
2027,Repeal,ICE,1456681.47639563,1456.68147639563,ICE_Repeal,New sales
2028,Repeal,BEV,359682.511957981,359.682511957981,BEV_Repeal,New sales
2028,Repeal,PHEV,67113.0893309191,67.1130893309191,PHEV_Repeal,New sales
2028,Repeal,ICE,1390195.90557812,1390.19590557812,ICE_Repeal,New sales
2029,Repeal,BEV,431684.965669166,431.684965669166,BEV_Repeal,New sales
2029,Repeal,PHEV,87332.3256762386,87.3323256762386,PHEV_Repeal,New sales
2029,Repeal,ICE,1310015.53061158,1310.01553061158,ICE_Repeal,New sales
2030,Repeal,BEV,507230.01226518,507.23001226518,BEV_Repeal,New sales
2030,Repeal,PHEV,98846.4164730924,98.84641647309239,PHEV_Repeal,New sales
2030,Repeal,ICE,1238502.35289833,1238.50235289833,ICE_Repeal,New sales
2031,Repeal,BEV,565542.421930726,565.542421930726,BEV_Repeal,New sales
2031,Repeal,PHEV,118248.716616556,118.24871661655601,PHEV_Repeal,New sales
2031,Repeal,ICE,1099817.24053052,1099.81724053052,ICE_Repeal,New sales
2032,Repeal,BEV,638294.154612287,638.294154612287,BEV_Repeal,New sales
2032,Repeal,PHEV,140308.502914352,140.308502914352,PHEV_Repeal,New sales
2032,Repeal,ICE,1015515.54255109,1015.51554255109,ICE_Repeal,New sales
2033,Repeal,BEV,753231.312352473,753.2313123524731,BEV_Repeal,New sales
2033,Repeal,PHEV,155675.836464995,155.675836464995,PHEV_Repeal,New sales
2033,Repeal,ICE,898672.332106582,898.672332106582,ICE_Repeal,New sales
2034,Repeal,BEV,820427.707810554,820.427707810554,BEV_Repeal,New sales
2034,Repeal,PHEV,161898.257740139,161.898257740139,PHEV_Repeal,New sales
2034,Repeal,ICE,842272.282492009,842.272282492009,ICE_Repeal,New sales
2035,Repeal,BEV,883634.106080447,883.6341060804469,BEV_Repeal,New sales
2035,Repeal,PHEV,165206.731102976,165.206731102976,PHEV_Repeal,New sales
2035,Repeal,ICE,800579.809931207,800.579809931207,ICE_Repeal,New sales
2036,Repeal,BEV,942161.879370999,942.161879370999,BEV_Repeal,New sales
2036,Repeal,PHEV,167295.10115775,167.29510115775,PHEV_Repeal,New sales
2036,Repeal,ICE,766238.585794993,766.238585794993,ICE_Repeal,New sales
2037,Repeal,BEV,1007926.34962775,1007.92634962775,BEV_Repeal,New sales
2037,Repeal,PHEV,169907.817371206,169.90781737120602,PHEV_Repeal,New sales
2037,Repeal,ICE,745949.394165977,745.949394165977,ICE_Repeal,New sales
2038,Repeal,BEV,1051565.66787578,1051.56566787578,BEV_Repeal,New sales
2038,Repeal,PHEV,168541.287896861,168.541287896861,PHEV_Repeal,New sales
2038,Repeal,ICE,717750.505470172,717.750505470172,ICE_Repeal,New sales
2039,Repeal,BEV,1086609.56643007,1086.60956643007,BEV_Repeal,New sales
2039,Repeal,PHEV,166145.950439248,166.145950439248,PHEV_Repeal,New sales
2039,Repeal,ICE,692607.126074927,692.607126074927,ICE_Repeal,New sales
2040,Repeal,BEV,1111861.05194699,1111.8610519469898,BEV_Repeal,New sales
2040,Repeal,PHEV,162785.390094347,162.785390094347,PHEV_Repeal,New sales
2040,Repeal,ICE,669395.670224309,669.395670224309,ICE_Repeal,New sales
2041,Repeal,BEV,1107415.81844537,1107.4158184453702,BEV_Repeal,New sales
2041,Repeal,PHEV,155882.668058043,155.882668058043,PHEV_Repeal,New sales
2041,Repeal,ICE,634798.13904359,634.79813904359,ICE_Repeal,New sales
2042,Repeal,BEV,1122686.77281737,1122.68677281737,BEV_Repeal,New sales
2042,Repeal,PHEV,152404.932563908,152.40493256390798,PHEV_Repeal,New sales
2042,Repeal,ICE,615807.21913901,615.8072191390099,ICE_Repeal,New sales
2043,Repeal,BEV,1139584.98263738,1139.58498263738,BEV_Repeal,New sales
2043,Repeal,PHEV,149683.59827894,149.68359827894,PHEV_Repeal,New sales
2043,Repeal,ICE,601064.34104278,601.0643410427799,ICE_Repeal,New sales
2044,Repeal,BEV,1160943.56541732,1160.94356541732,BEV_Repeal,New sales
2044,Repeal,PHEV,147898.476611421,147.89847661142102,PHEV_Repeal,New sales
2044,Repeal,ICE,592256.540214046,592.256540214046,ICE_Repeal,New sales
2045,Repeal,BEV,1189759.52976503,1189.7595297650298,BEV_Repeal,New sales
2045,Repeal,PHEV,147277.247970389,147.277247970389,PHEV_Repeal,New sales
2045,Repeal,ICE,588126.38830567,588.12638830567,ICE_Repeal,New sales
2046,Repeal,BEV,1233564.47061226,1233.56447061226,BEV_Repeal,New sales
2046,Repeal,PHEV,147185.637701393,147.18563770139298,PHEV_Repeal,New sales
2046,Repeal,ICE,575747.774400179,575.7477744001791,ICE_Repeal,New sales
2047,Repeal,BEV,1268850.30784025,1268.85030784025,BEV_Repeal,New sales
2047,Repeal,PHEV,147460.156953192,147.46015695319198,PHEV_Repeal,New sales
2047,Repeal,ICE,574587.100163339,574.5871001633391,ICE_Repeal,New sales
2048,Repeal,BEV,1303558.7291111299,1303.5587291111299,BEV_Repeal,New sales
2048,Repeal,PHEV,147709.179830969,147.709179830969,PHEV_Repeal,New sales
2048,Repeal,ICE,573271.431133348,573.2714311333481,ICE_Repeal,New sales
2049,Repeal,BEV,1336271.25781326,1336.27125781326,BEV_Repeal,New sales
2049,Repeal,PHEV,147879.03787839,147.87903787839,PHEV_Repeal,New sales
2049,Repeal,ICE,571219.774362656,571.219774362656,ICE_Repeal,New sales
2050,Repeal,BEV,1364104.05403565,1364.10405403565,BEV_Repeal,New sales
2050,Repeal,PHEV,147431.712834021,147.431712834021,PHEV_Repeal,New sales
2050,Repeal,ICE,569024.697931933,569.024697931933,ICE_Repeal,New sales
2020,ACCII,BEV,243,0.243,BEV_ACCII,Retirements
2020,ACCII,PHEV,196,0.196,PHEV_ACCII,Retirements
2020,ACCII,ICE,1659886.4816221,1659.8864816221,ICE_ACCII,Retirements
