State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Alabama,2020,BEV,0,ACCII,US,0,AL,BEV.ACCII
Alabama,2020,PHEV,0,ACCII,US,0,AL,PHEV.ACCII
Alabama,2020,ICE,250920.627625492,ACCII,US,250.920627625492,AL,ICE.ACCII
Alabama,2021,BEV,0,ACCII,US,0,AL,BEV.ACCII
Alabama,2021,PHEV,1,ACCII,US,0.001,AL,PHEV.ACCII
Alabama,2021,ICE,242282.180986063,ACCII,US,242.282180986063,AL,ICE.ACCII
Alabama,2022,BEV,2,ACCII,US,0.002,AL,BEV.ACCII
Alabama,2022,PHEV,1,ACCII,US,0.001,AL,PHEV.ACCII
Alabama,2022,ICE,234951.547396313,ACCII,US,234.951547396313,AL,ICE.ACCII
Alabama,2023,BEV,4,ACCII,US,0.004,AL,BEV.ACCII
Alabama,2023,PHEV,4,ACCII,US,0.004,AL,PHEV.ACCII
Alabama,2023,ICE,228587.97121794,ACCII,US,228.58797121794,AL,ICE.ACCII
Alabama,2024,BEV,9,ACCII,US,0.009,AL,BEV.ACCII
Alabama,2024,PHEV,6,ACCII,US,0.006,AL,PHEV.ACCII
Alabama,2024,ICE,223060.424778874,ACCII,US,223.060424778874,AL,ICE.ACCII
Alabama,2025,BEV,20,ACCII,US,0.02,AL,BEV.ACCII
Alabama,2025,PHEV,14,ACCII,US,0.014,AL,PHEV.ACCII
Alabama,2025,ICE,218164.088105937,ACCII,US,218.164088105937,AL,ICE.ACCII
Alabama,2026,BEV,46,ACCII,US,0.046,AL,BEV.ACCII
Alabama,2026,PHEV,36,ACCII,US,0.036,AL,PHEV.ACCII
Alabama,2026,ICE,213923.490315519,ACCII,US,213.92349031551902,AL,ICE.ACCII
Alabama,2027,BEV,81,ACCII,US,0.081,AL,BEV.ACCII
Alabama,2027,PHEV,60,ACCII,US,0.06,AL,PHEV.ACCII
Alabama,2027,ICE,210111.201794161,ACCII,US,210.111201794161,AL,ICE.ACCII
Alabama,2028,BEV,130,ACCII,US,0.13,AL,BEV.ACCII
Alabama,2028,PHEV,98,ACCII,US,0.098,AL,PHEV.ACCII
Alabama,2028,ICE,206642.824127598,ACCII,US,206.642824127598,AL,ICE.ACCII
Alabama,2029,BEV,210,ACCII,US,0.21,AL,BEV.ACCII
Alabama,2029,PHEV,143,ACCII,US,0.143,AL,PHEV.ACCII
Alabama,2029,ICE,203461.989664235,ACCII,US,203.461989664235,AL,ICE.ACCII
Alabama,2030,BEV,339,ACCII,US,0.339,AL,BEV.ACCII
Alabama,2030,PHEV,207,ACCII,US,0.207,AL,PHEV.ACCII
Alabama,2030,ICE,200509.258885017,ACCII,US,200.509258885017,AL,ICE.ACCII
Alabama,2031,BEV,509,ACCII,US,0.509,AL,BEV.ACCII
Alabama,2031,PHEV,269,ACCII,US,0.269,AL,PHEV.ACCII
Alabama,2031,ICE,197747.579444434,ACCII,US,197.747579444434,AL,ICE.ACCII
Alabama,2032,BEV,754,ACCII,US,0.754,AL,BEV.ACCII
Alabama,2032,PHEV,335,ACCII,US,0.335,AL,PHEV.ACCII
Alabama,2032,ICE,195112.913891664,ACCII,US,195.11291389166402,AL,ICE.ACCII
Alabama,2033,BEV,1137,ACCII,US,1.137,AL,BEV.ACCII
Alabama,2033,PHEV,452,ACCII,US,0.452,AL,PHEV.ACCII
Alabama,2033,ICE,192614.313391336,ACCII,US,192.614313391336,AL,ICE.ACCII
Alabama,2034,BEV,1724,ACCII,US,1.724,AL,BEV.ACCII
Alabama,2034,PHEV,607,ACCII,US,0.607,AL,PHEV.ACCII
Alabama,2034,ICE,190222.197046657,ACCII,US,190.22219704665702,AL,ICE.ACCII
Alabama,2035,BEV,2589,ACCII,US,2.589,AL,BEV.ACCII
Alabama,2035,PHEV,831,ACCII,US,0.831,AL,PHEV.ACCII
Alabama,2035,ICE,187941.095919673,ACCII,US,187.94109591967302,AL,ICE.ACCII
Alabama,2036,BEV,3739,ACCII,US,3.739,AL,BEV.ACCII
Alabama,2036,PHEV,1128,ACCII,US,1.128,AL,PHEV.ACCII
Alabama,2036,ICE,185743.997030266,ACCII,US,185.743997030266,AL,ICE.ACCII
Alabama,2037,BEV,6041,ACCII,US,6.041,AL,BEV.ACCII
Alabama,2037,PHEV,1634,ACCII,US,1.634,AL,PHEV.ACCII
Alabama,2037,ICE,183583.242391863,ACCII,US,183.583242391863,AL,ICE.ACCII
Alabama,2038,BEV,9195,ACCII,US,9.195,AL,BEV.ACCII
Alabama,2038,PHEV,2318,ACCII,US,2.318,AL,PHEV.ACCII
Alabama,2038,ICE,181391.319655954,ACCII,US,181.391319655954,AL,ICE.ACCII
Alabama,2039,BEV,13375,ACCII,US,13.375,AL,BEV.ACCII
Alabama,2039,PHEV,3255,ACCII,US,3.255,AL,PHEV.ACCII
Alabama,2039,ICE,179080.883592999,ACCII,US,179.080883592999,AL,ICE.ACCII
Alabama,2040,BEV,18514,ACCII,US,18.514,AL,BEV.ACCII
Alabama,2040,PHEV,4309,ACCII,US,4.309,AL,PHEV.ACCII
Alabama,2040,ICE,176553.554496411,ACCII,US,176.553554496411,AL,ICE.ACCII
Alabama,2041,BEV,24432,ACCII,US,24.432,AL,BEV.ACCII
Alabama,2041,PHEV,5553,ACCII,US,5.553,AL,PHEV.ACCII
