State,Year,Scenario,Annual_ret,Cumulative_thousands,code
Alabama,2020,ACCII,3,0.003,AL
Alabama,2021,ACCII,9,0.012,AL
Alabama,2022,ACCII,13,0.025,AL
Alabama,2023,ACCII,33,0.058,AL
Alabama,2024,ACCII,49,0.107,AL
Alabama,2025,ACCII,76,0.183,AL
Alabama,2026,ACCII,126,0.309,AL
Alabama,2027,ACCII,214,0.523,AL
Alabama,2028,ACCII,354,0.877,AL
Alabama,2029,ACCII,568,1.445,AL
Alabama,2030,ACCII,868,2.313,AL
Alabama,2031,ACCII,1305,3.618,AL
Alabama,2032,ACCII,1862,5.48,AL
Alabama,2033,ACCII,2591,8.071,AL
Alabama,2034,ACCII,3632,11.703,AL
Alabama,2035,ACCII,5035,16.738,AL
Alabama,2036,ACCII,6912,23.65,AL
Alabama,2037,ACCII,9283,32.933,AL
Alabama,2038,ACCII,13083,46.016,AL
Alabama,2039,ACCII,17919,63.935,AL
Alabama,2040,ACCII,23886,87.821,AL
Alabama,2041,ACCII,30703,118.524,AL
Alabama,2042,ACCII,38193,156.717,AL
Alabama,2043,ACCII,46098,202.815,AL
Alabama,2044,ACCII,54179,256.994,AL
Alabama,2045,ACCII,62449,319.443,AL
Alabama,2046,ACCII,71013,390.456,AL
Alabama,2047,ACCII,79469,469.925,AL
Alabama,2048,ACCII,87629,557.554,AL
Alabama,2049,ACCII,95304,652.858,AL
Alabama,2050,ACCII,102395,755.253,AL
Alabama,2020,Repeal,3,0.003,AL
Alabama,2021,Repeal,9,0.012,AL
Alabama,2022,Repeal,13,0.025,AL
Alabama,2023,Repeal,33,0.058,AL
Alabama,2024,Repeal,49,0.107,AL
Alabama,2025,Repeal,76,0.183,AL
Alabama,2026,Repeal,124,0.307,AL
Alabama,2027,Repeal,211,0.518,AL
Alabama,2028,Repeal,346,0.864,AL
Alabama,2029,Repeal,551,1.415,AL
Alabama,2030,Repeal,836,2.251,AL
Alabama,2031,Repeal,1257,3.508,AL
Alabama,2032,Repeal,1794,5.302,AL
Alabama,2033,Repeal,2497,7.799,AL
Alabama,2034,Repeal,3511,11.31,AL
Alabama,2035,Repeal,4873,16.183,AL
Alabama,2036,Repeal,6708,22.891,AL
Alabama,2037,Repeal,9008,31.899,AL
Alabama,2038,Repeal,12720,44.619,AL
Alabama,2039,Repeal,17454,62.073,AL
Alabama,2040,Repeal,23270,85.343,AL
Alabama,2041,Repeal,29901,115.244,AL
Alabama,2042,Repeal,37160,152.404,AL
Alabama,2043,Repeal,44809,197.213,AL
Alabama,2044,Repeal,52612,249.825,AL
Alabama,2045,Repeal,60605,310.43,AL
Alabama,2046,Repeal,68887,379.317,AL
Alabama,2047,Repeal,77066,456.383,AL
Alabama,2048,Repeal,84969,541.352,AL
Alabama,2049,Repeal,92426,633.778,AL
Alabama,2050,Repeal,99305,733.083,AL
Alaska,2020,ACCII,0,0,AK
Alaska,2021,ACCII,0,0,AK
Alaska,2022,ACCII,1,0.001,AK
Alaska,2023,ACCII,4,0.005,AK
Alaska,2024,ACCII,11,0.016,AK
Alaska,2025,ACCII,21,0.037,AK
Alaska,2026,ACCII,36,0.073,AK
Alaska,2027,ACCII,68,0.141,AK
Alaska,2028,ACCII,97,0.238,AK
Alaska,2029,ACCII,146,0.384,AK
Alaska,2030,ACCII,199,0.583,AK
Alaska,2031,ACCII,278,0.861,AK
Alaska,2032,ACCII,369,1.23,AK
Alaska,2033,ACCII,476,1.706,AK
Alaska,2034,ACCII,633,2.339,AK
Alaska,2035,ACCII,845,3.184,AK
Alaska,2036,ACCII,1111,4.295,AK
Alaska,2037,ACCII,1438,5.733,AK
Alaska,2038,ACCII,1945,7.678,AK
Alaska,2039,ACCII,2557,10.235,AK
Alaska,2040,ACCII,3299,13.534,AK
Alaska,2041,ACCII,4180,17.714,AK
Alaska,2042,ACCII,5146,22.86,AK
Alaska,2043,ACCII,6187,29.047,AK
Alaska,2044,ACCII,7283,36.33,AK
Alaska,2045,ACCII,8398,44.728,AK
Alaska,2046,ACCII,9548,54.276,AK
Alaska,2047,ACCII,10712,64.988,AK
Alaska,2048,ACCII,11813,76.801,AK
Alaska,2049,ACCII,12861,89.662,AK
Alaska,2050,ACCII,13816,103.478,AK
Alaska,2020,Repeal,0,0,AK
Alaska,2021,Repeal,0,0,AK
Alaska,2022,Repeal,1,0.001,AK
Alaska,2023,Repeal,4,0.005,AK
Alaska,2024,Repeal,11,0.016,AK
Alaska,2025,Repeal,21,0.037,AK
Alaska,2026,Repeal,36,0.073,AK
Alaska,2027,Repeal,68,0.141,AK
Alaska,2028,Repeal,97,0.238,AK
Alaska,2029,Repeal,143,0.381,AK
Alaska,2030,Repeal,191,0.572,AK
Alaska,2031,Repeal,267,0.839,AK
Alaska,2032,Repeal,357,1.196,AK
Alaska,2033,Repeal,461,1.657,AK
Alaska,2034,Repeal,618,2.275,AK
Alaska,2035,Repeal,823,3.098,AK
Alaska,2036,Repeal,1081,4.179,AK
Alaska,2037,Repeal,1401,5.58,AK
Alaska,2038,Repeal,1895,7.475,AK
Alaska,2039,Repeal,2495,9.97,AK
Alaska,2040,Repeal,3217,13.187,AK
Alaska,2041,Repeal,4067,17.254,AK
Alaska,2042,Repeal,5000,22.254,AK
Alaska,2043,Repeal,6006,28.26,AK
Alaska,2044,Repeal,7062,35.322,AK
Alaska,2045,Repeal,8138,43.46,AK
Alaska,2046,Repeal,9247,52.707,AK
Alaska,2047,Repeal,10376,63.083,AK
Alaska,2048,Repeal,11445,74.528,AK
Alaska,2049,Repeal,12456,86.984,AK
Alaska,2050,Repeal,13380,100.364,AK
Alberta,2020,ACCII,0,0,AB
Alberta,2021,ACCII,8,0.008,AB
Alberta,2022,ACCII,13,0.021,AB
Alberta,2023,ACCII,26,0.047,AB
Alberta,2024,ACCII,51,0.098,AB
Alberta,2025,ACCII,72,0.17,AB
Alberta,2026,ACCII,120,0.29,AB
Alberta,2027,ACCII,199,0.489,AB
Alberta,2028,ACCII,339,0.828,AB
Alberta,2029,ACCII,565,1.393,AB
Alberta,2030,ACCII,913,2.306,AB
Alberta,2031,ACCII,1449,3.755,AB
Alberta,2032,ACCII,2233,5.988,AB
Alberta,2033,ACCII,3237,9.225,AB
Alberta,2034,ACCII,4811,14.036,AB
Alberta,2035,ACCII,7073,21.109,AB
Alberta,2036,ACCII,10300,31.409,AB
Alberta,2037,ACCII,14744,46.153,AB
Alberta,2038,ACCII,22072,68.225,AB
Alberta,2039,ACCII,32878,101.103,AB
Alberta,2040,ACCII,46467,147.57,AB
Alberta,2041,ACCII,62458,210.028,AB
Alberta,2042,ACCII,79807,289.835,AB
Alberta,2043,ACCII,98013,387.848,AB
Alberta,2044,ACCII,116286,504.134,AB
Alberta,2045,ACCII,134106,638.24,AB
Alberta,2046,ACCII,151233,789.473,AB
Alberta,2047,ACCII,167523,956.996,AB
Alberta,2048,ACCII,183130,1140.126,AB
