Year,Tonnes,Display metric,Capacity scenario,Policy scenario
2025,1.4098398156041374,LIB demand,Increase LIB Capacity,Policy Baseline
2025,1.3316748038573831,LIB demand,Decrease LIB Capacity,Policy Baseline
2025,2.49692813262351,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2025,2.49692813262351,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2025,0.8487528357655363,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2025,0.8014864492384076,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2025,0.0042042707880399,EoL batteries,Increase LIB Capacity,Policy Baseline
2025,0.0042042707880399,EoL batteries,Decrease LIB Capacity,Policy Baseline
2025,0.32242336185,Preprocessing (black mass prod.),Installed,Policy Baseline
2025,0.1823283618499999,Materials recovery (refining),Installed,Policy Baseline
2026,1.7753520140520656,LIB demand,Increase LIB Capacity,Policy Baseline
2026,1.5894390051739389,LIB demand,Decrease LIB Capacity,Policy Baseline
2026,3.7619832176712538,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2026,3.7619832176712538,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2026,1.0737701062280465,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2026,0.960885192006819,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2026,0.0089642796846689,EoL batteries,Increase LIB Capacity,Policy Baseline
2026,0.0088567111030251,EoL batteries,Decrease LIB Capacity,Policy Baseline
2026,0.49552836185,Preprocessing (black mass prod.),Installed,Policy Baseline
2026,0.369437987779,Materials recovery (refining),Installed,Policy Baseline
2027,2.309124171017272,LIB demand,Increase LIB Capacity,Policy Baseline
2027,1.9609829695262877,LIB demand,Decrease LIB Capacity,Policy Baseline
2027,4.799877549531148,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2027,4.799877549531148,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2027,1.530843247628786,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2027,1.530843247628786,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2027,0.0184678830560479,EoL batteries,Increase LIB Capacity,Policy Baseline
2027,0.0179279438629156,EoL batteries,Decrease LIB Capacity,Policy Baseline
2027,0.53452836185,Preprocessing (black mass prod.),Installed,Policy Baseline
2027,0.556941492483,Materials recovery (refining),Installed,Policy Baseline
2028,2.9935429201818904,LIB demand,Increase LIB Capacity,Policy Baseline
2028,2.415289787048803,LIB demand,Decrease LIB Capacity,Policy Baseline
2028,5.325356827096056,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2028,5.325356827096056,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2028,1.8262614782202853,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2028,1.5780912795040734,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
