Year,Scenario,Recycling Step,Tonne,Scenario_Recycling,Policy scenario,Capacity scenario,Recycling step,Plot value
2025,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2026,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2027,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2028,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2029,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2030,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2031,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2032,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2033,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2034,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2035,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2036,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2037,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0
2038,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.0388054658372392,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.0388054658372392
2039,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.3404640831658824,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.3016586173286432
2040,Decreasing Batt Cap - Benchmark Chemistry,Refining,0.9233317921588272,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.5828677089929448
2041,Decreasing Batt Cap - Benchmark Chemistry,Refining,1.7985524718612396,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),0.8752206797024124
2042,Decreasing Batt Cap - Benchmark Chemistry,Refining,2.9788867929744955,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),1.180334321113256
2043,Decreasing Batt Cap - Benchmark Chemistry,Refining,4.480121851364553,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),1.501235058390057
2044,Decreasing Batt Cap - Benchmark Chemistry,Refining,6.316662404450642,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),1.8365405530860892
2045,Decreasing Batt Cap - Benchmark Chemistry,Refining,8.500506062771326,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),2.1838436583206837
2046,Decreasing Batt Cap - Benchmark Chemistry,Refining,11.041860985756074,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),2.5413549229847483
2047,Decreasing Batt Cap - Benchmark Chemistry,Refining,13.938540077772211,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),2.8966790920161376
2048,Decreasing Batt Cap - Benchmark Chemistry,Refining,17.182422776297066,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),3.243882698524855
2049,Decreasing Batt Cap - Benchmark Chemistry,Refining,20.754882549990388,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),3.5724597736933212
2050,Decreasing Batt Cap - Benchmark Chemistry,Refining,24.63510754022833,Decreasing Batt Cap - Benchmark Chemistry - Refining,Policy Baseline,Decrease LIB Capacity,Materials recovery (refining),3.8802249902379415
2025,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2026,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2027,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2028,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2029,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2030,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2031,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2032,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2033,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2034,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2035,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0
2036,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,0.0512286088503731,Decreasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Baseline,Decrease LIB Capacity,Preprocessing (black mass prod.),0.0512286088503731
