Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand,Capacity key,Chemistry key,Percent
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0045238740891468,Increasing Batt Cap,Benchmark Chemistry,0.45238740891468
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0045238740891468,Increasing Batt Cap,Benchmark Chemistry,0.45238740891468
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0055871107397645,Increasing Batt Cap,Benchmark Chemistry,0.55871107397645
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0055871107397645,Increasing Batt Cap,Benchmark Chemistry,0.55871107397645
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0076782815121744,Increasing Batt Cap,Benchmark Chemistry,0.76782815121744
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0076782815121744,Increasing Batt Cap,Benchmark Chemistry,0.76782815121744
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0102739432347835,Increasing Batt Cap,Benchmark Chemistry,1.02739432347835
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0102739432347835,Increasing Batt Cap,Benchmark Chemistry,1.02739432347835
2030,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0131590971552785,Increasing Batt Cap,Benchmark Chemistry,1.31590971552785
2030,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0131590971552785,Increasing Batt Cap,Benchmark Chemistry,1.31590971552785
2031,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0170648901083794,Increasing Batt Cap,Benchmark Chemistry,1.7064890108379398
2031,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0170648901083794,Increasing Batt Cap,Benchmark Chemistry,1.7064890108379398
2032,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0221836132116641,Increasing Batt Cap,Benchmark Chemistry,2.21836132116641
2032,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0221836132116641,Increasing Batt Cap,Benchmark Chemistry,2.21836132116641
2033,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.026934640650389,Increasing Batt Cap,Benchmark Chemistry,2.6934640650388997
2033,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.026934640650389,Increasing Batt Cap,Benchmark Chemistry,2.6934640650388997
2034,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0328756263375483,Increasing Batt Cap,Benchmark Chemistry,3.28756263375483
2034,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0328756263375483,Increasing Batt Cap,Benchmark Chemistry,3.28756263375483
2035,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0407907690033441,Increasing Batt Cap,Benchmark Chemistry,4.07907690033441
