Geography,Scope,Mineral,Scenario effect,Year,Reference maximum RCS (%),Change (percentage points),Resulting maximum RCS (%)
California,California-origin / US network,Nickel,ΔPolicy,2030,1.8626287964136357,1.7770111619557245,3.63963995836936
California,California-origin / US network,Nickel,ΔPolicy,2035,5.606346712108963,3.2687372456027424,8.875083957711706
California,California-origin / US network,Nickel,ΔPolicy,2040,19.306833429782294,5.628723330974406,24.9355567607567
California,California-origin / US network,Nickel,ΔPolicy,2045,33.23114532291244,-3.310092360999498,29.92105296191294
California,California-origin / US network,Nickel,ΔPolicy,2050,53.72479658198477,-6.700645977902667,47.0241506040821
California,California-origin / US network,Nickel,ΔCapacity,2030,1.8626287964136357,0.6570724597883959,2.5197012562020316
California,California-origin / US network,Nickel,ΔCapacity,2035,5.606346712108963,3.6873998235886836,9.293746535697647
California,California-origin / US network,Nickel,ΔCapacity,2040,19.306833429782294,12.815449685346877,32.12228311512917
California,California-origin / US network,Nickel,ΔCapacity,2045,33.23114532291244,11.843952959140836,45.075098282053276
California,California-origin / US network,Nickel,ΔCapacity,2050,53.72479658198477,6.83171746403184,60.55651404601661
California,California-origin / US network,Nickel,ΔChemistry,2030,1.8626287964136357,0.36202523570631695,2.2246540321199526
California,California-origin / US network,Nickel,ΔChemistry,2035,5.606346712108963,1.9099671073188684,7.516313819427832
California,California-origin / US network,Nickel,ΔChemistry,2040,19.306833429782294,8.511284376319427,27.81811780610172
California,California-origin / US network,Nickel,ΔChemistry,2045,33.23114532291244,9.180409873060277,42.41155519597272
California,California-origin / US network,Nickel,ΔChemistry,2050,53.72479658198477,7.229380414860451,60.95417699684522
California,California-origin / US network,Manganese,ΔPolicy,2030,1.8785538405328805,1.7920232739382482,3.6705771144711288
California,California-origin / US network,Manganese,ΔPolicy,2035,4.413375894332881,2.4145754322629003,6.827951326595781
California,California-origin / US network,Manganese,ΔPolicy,2040,16.146208706933585,3.7850972071361575,19.931305914069743
California,California-origin / US network,Manganese,ΔPolicy,2045,33.03285199438063,-3.9252348812926883,29.10761711308794
California,California-origin / US network,Manganese,ΔPolicy,2050,53.83293751586984,-6.795456713835996,47.03748080203384
California,California-origin / US network,Manganese,ΔCapacity,2030,1.8785538405328805,0.6632994646053259,2.5418533051382064
California,California-origin / US network,Manganese,ΔCapacity,2035,4.413375894332881,2.8106049194252627,7.223980813758144
California,California-origin / US network,Manganese,ΔCapacity,2040,16.146208706933585,10.148745890436928,26.294954597370513
California,California-origin / US network,Manganese,ΔCapacity,2045,33.03285199438063,11.35147705379547,44.3843290481761
California,California-origin / US network,Manganese,ΔCapacity,2050,53.83293751586984,6.798958848584412,60.63189636445425
California,California-origin / US network,Manganese,ΔChemistry,2030,1.8785538405328805,0.36489536321641913,2.2434492037492997
California,California-origin / US network,Manganese,ΔChemistry,2035,4.413375894332881,1.4707826595814355,5.884158553914316
California,California-origin / US network,Manganese,ΔChemistry,2040,16.146208706933585,6.874189277223678,23.020397984157263
California,California-origin / US network,Manganese,ΔChemistry,2045,33.03285199438063,8.887951722612698,41.920803716993326
California,California-origin / US network,Manganese,ΔChemistry,2050,53.83293751586984,7.196978818088311,61.02991633395815
California,California-origin / US network,Cobalt,ΔPolicy,2030,2.4294971008107455,2.372139887857817,4.801636988668562
California,California-origin / US network,Cobalt,ΔPolicy,2035,6.680880957350202,3.9646641046151823,10.645545061965384
California,California-origin / US network,Cobalt,ΔPolicy,2040,23.153868958005244,6.622796516154491,29.776665474159735
California,California-origin / US network,Cobalt,ΔPolicy,2045,38.64414850521647,-4.030272853320902,34.61387565189557
California,California-origin / US network,Cobalt,ΔPolicy,2050,58.527407024615826,-7.505534691631574,51.02187233298425
California,California-origin / US network,Cobalt,ΔCapacity,2030,2.4294971008107455,0.8685137920178412,3.2980108928285867
California,California-origin / US network,Cobalt,ΔCapacity,2035,6.680880957350202,4.459143734307086,11.140024691657288
California,California-origin / US network,Cobalt,ΔCapacity,2040,23.153868958005244,15.52941446009812,38.683283418103365
California,California-origin / US network,Cobalt,ΔCapacity,2045,38.64414850521647,14.21142870044116,52.85557720565763
California,California-origin / US network,Cobalt,ΔCapacity,2050,58.527407024615826,7.769275507421085,66.29668253203691
California,California-origin / US network,Cobalt,ΔChemistry,2030,2.4294971008107455,0.477915402212127,2.9074125030228726
California,California-origin / US network,Cobalt,ΔChemistry,2035,6.680880957350202,2.3102934016038192,8.991174358954021
California,California-origin / US network,Cobalt,ΔChemistry,2040,23.153868958005244,10.353209285078943,33.50707824308419
California,California-origin / US network,Cobalt,ΔChemistry,2045,38.64414850521647,10.954582735941116,49.59873124115759
California,California-origin / US network,Cobalt,ΔChemistry,2050,58.527407024615826,8.133831155543263,66.66123818015909
California,California-origin / US network,Lithium,ΔPolicy,2030,1.470154721722684,1.2066912257870832,2.6768459475097672
California,California-origin / US network,Lithium,ΔPolicy,2035,4.556816540052597,2.3879755147367634,6.94479205478936
California,California-origin / US network,Lithium,ΔPolicy,2040,15.591901679380236,4.471278242268376,20.06317992164861
California,California-origin / US network,Lithium,ΔPolicy,2045,28.368266666169266,-2.0481031958968536,26.320163470272412
California,California-origin / US network,Lithium,ΔPolicy,2050,44.85883948947131,-4.650213437003025,40.20862605246828
California,California-origin / US network,Lithium,ΔCapacity,2030,1.470154721722684,0.4847219212964653,1.9548766430191493
California,California-origin / US network,Lithium,ΔCapacity,2035,4.556816540052597,2.706367071235576,7.263183611288173
California,California-origin / US network,Lithium,ΔCapacity,2040,15.591901679380236,9.25550811611798,24.847409795498216
California,California-origin / US network,Lithium,ΔCapacity,2045,28.368266666169266,9.167008652789715,37.53527531895898
California,California-origin / US network,Lithium,ΔCapacity,2050,44.85883948947131,5.373924198278274,50.23276368774958
California,California-origin / US network,Lithium,ΔChemistry,2030,1.470154721722684,0.02256925034316426,1.4927239720658483
California,California-origin / US network,Lithium,ΔChemistry,2035,4.556816540052597,0.10113332505840322,4.657949865111
California,California-origin / US network,Lithium,ΔChemistry,2040,15.591901679380236,0.351519266618574,15.94342094599881
California,California-origin / US network,Lithium,ΔChemistry,2045,28.368266666169266,0.3683292680931487,28.736595934262414
California,California-origin / US network,Lithium,ΔChemistry,2050,44.85883948947131,0.23324971124251448,45.09208920071382
California,California-origin / US network,Graphite,ΔPolicy,2030,1.5743936916398749,1.2553132563219882,2.829706947961863
California,California-origin / US network,Graphite,ΔPolicy,2035,4.980126569154077,2.5571412120805963,7.537267781234673
California,California-origin / US network,Graphite,ΔPolicy,2040,17.05582331071645,4.879473690277891,21.93529700099434
California,California-origin / US network,Graphite,ΔPolicy,2045,31.434078290621354,-2.1284573735658796,29.305620917055474
California,California-origin / US network,Graphite,ΔPolicy,2050,49.93179981444138,-5.009483816723993,44.92231599771739
California,California-origin / US network,Graphite,ΔCapacity,2030,1.5743936916398749,0.5106935451289627,2.0850872367688376
California,California-origin / US network,Graphite,ΔCapacity,2035,4.980126569154077,2.8969588632431105,7.8770854323971875
