Policy,Capacity,Chemistry,Geography,Year,Stage,Additional capacity needed (million MT/year),Additional capacity needed (thousand MT/year)
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2025,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2025,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2026,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2026,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2027,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2027,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2028,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2028,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2029,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2029,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2030,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2030,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2031,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2031,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2032,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2032,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2033,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2033,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2034,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2034,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2035,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2035,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2036,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2036,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2037,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2037,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2038,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2038,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2039,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2039,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2040,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2040,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2041,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2041,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2042,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2042,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2043,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2043,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2044,Preprocessing,0.001058275884063798,1.058275884063798
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2044,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2045,Preprocessing,0.07918268796118826,79.18268796118825
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2045,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2046,Preprocessing,0.23912159515877499,239.121595158775
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2046,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2047,Preprocessing,0.4842386458908912,484.23864589089123
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2047,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2048,Preprocessing,0.8168456481250211,816.8456481250212
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2048,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2049,Preprocessing,1.2323914962402311,1232.3914962402312
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2049,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2050,Preprocessing,1.7245028890040401,1724.50288900404
Baseline,Increasing Batt Cap,Benchmark Chemistry,California,2050,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2025,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2025,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2026,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2026,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2027,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2027,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2028,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2028,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2029,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2029,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2030,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2030,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2031,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2031,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2032,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2032,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2033,Preprocessing,0.00777126240952767,7.77126240952767
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2033,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2034,Preprocessing,0.11109191437488632,111.09191437488631
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2034,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2035,Preprocessing,0.34545686138093507,345.45686138093504
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2035,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2036,Preprocessing,0.7342256900159813,734.2256900159813
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2036,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2037,Preprocessing,1.306967502377581,1306.967502377581
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2037,Materials recovery,0.05274829280859977,52.74829280859977
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2038,Preprocessing,2.163841407287823,2163.841407287823
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2038,Materials recovery,0.38962867816584174,389.62867816584173
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2039,Preprocessing,3.296315003340202,3296.315003340202
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2039,Materials recovery,1.0021087546652208,1002.1087546652208
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2040,Preprocessing,4.740131333390081,4740.131333390081
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2040,Materials recovery,1.925931565162099,1925.9315651620989
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2041,Preprocessing,6.528269398157533,6528.269398157533
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2041,Materials recovery,3.194076110376551,3194.076110376551
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2042,Preprocessing,8.697617692075307,8697.617692075306
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2042,Materials recovery,4.843430884741325,4843.430884741325
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2043,Preprocessing,11.288586103251074,11288.586103251075
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2043,Materials recovery,6.914405776364092,6914.405776364091
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2044,Preprocessing,14.337840324852971,14337.84032485297
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2044,Materials recovery,9.44366647841299,9443.66647841299
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2045,Preprocessing,17.879538508665235,17879.538508665235
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2045,Materials recovery,12.46537114267225,12465.37114267225
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2046,Preprocessing,21.94808369088873,21948.08369088873
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2046,Materials recovery,16.013922805342744,16013.922805342745
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2047,Preprocessing,26.560960663332224,26560.960663332226
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2047,Materials recovery,20.106806258233235,20106.806258233235
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2048,Preprocessing,31.725530373492717,31725.53037349272
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2048,Materials recovery,24.751382448840726,24751.382448840726
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2049,Preprocessing,37.41916874383941,37419.16874383941
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2049,Materials recovery,29.92502729963441,29925.02729963441
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2050,Preprocessing,43.607534886526594,43607.53488652659
Baseline,Increasing Batt Cap,Benchmark Chemistry,United States,2050,Materials recovery,35.5933999227686,35593.3999227686
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2025,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2025,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2026,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2026,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2027,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2027,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2028,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2028,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2029,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2029,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2030,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2030,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2031,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2031,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2032,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2032,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2033,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2033,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2034,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2034,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2035,Preprocessing,0.07053070376669167,70.53070376669167
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2035,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2036,Preprocessing,0.3291540969040773,329.15409690407733
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2036,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2037,Preprocessing,0.8151179839311578,815.1179839311577
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2037,Materials recovery,0.0014703674740802963,1.4703674740802963
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2038,Preprocessing,1.645392685261847,1645.392685261847
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2038,Materials recovery,0.3472515492517693,347.25154925176935
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2039,Preprocessing,2.8188882237753865,2818.8882237753865
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2039,Materials recovery,1.0362535682123086,1036.2535682123087
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2040,Preprocessing,4.381071334672667,4381.071334672667
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2040,Materials recovery,2.1139431595565896,2113.9431595565898
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2041,Preprocessing,6.375564670670885,6375.564670670885
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2041,Materials recovery,3.6239429760018065,3623.9429760018065
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2042,Preprocessing,8.84949221701929,8849.49221701929
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2042,Materials recovery,5.613377002797212,5613.377002797212
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2043,Preprocessing,11.855914793778412,11855.914793778413
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2043,Materials recovery,8.135306060003334,8135.306060003334
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2044,Preprocessing,15.445294362420906,15445.294362420906
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2044,Materials recovery,11.240192109092828,11240.192109092828
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2045,Preprocessing,19.664805260009466,19664.805260009467
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2045,Materials recovery,14.975209487128392,14975.209487128392
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2046,Preprocessing,24.560362572165168,24560.36257216517
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2046,Materials recovery,19.386273279731093,19386.273279731093
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2047,Preprocessing,30.15924463135625,30159.244631356247
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2047,Materials recovery,24.500661819369167,24500.66181936917
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2048,Preprocessing,36.47749910901188,36477.49910901188
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2048,Materials recovery,30.3344227774718,30334.422777471802
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2049,Preprocessing,43.49484642986717,43494.84642986717
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2049,Materials recovery,36.86727657877408,36867.27657877408
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2050,Preprocessing,51.17814752072331,51178.14752072331
Baseline,Increasing Batt Cap,Benchmark Chemistry,North America,2050,Materials recovery,44.066084150077224,44066.08415007722
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2025,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2025,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2026,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2026,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2027,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2027,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2028,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2028,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2029,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2029,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2030,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2030,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2031,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2031,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2032,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2032,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2033,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2033,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2034,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2034,Materials recovery,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2035,Preprocessing,0.0,0.0
Baseline,Increasing Batt Cap,High LFP Chemistry,California,2035,Materials recovery,0.0,0.0
