,Company,State/ Province,Product_Abbrev,Gwh/yr,Year,Info
75,AllCell Technology,MI,-,0.0005064763,2025,Pack maker
86,Duckyang,CA,-,0.11,2028,Module producer
108,Hitachi Group,AZ,-,0.132,2025,Not LIBs
125,QuantumScape Corporation,MI,-,0.025,2025,Solid state application for either
44,Solid Power Inc.,CO,NMC,0.75,2025,https://www.solidpowerbattery.com/overview/?utm_source=chatgpt.com
135,"Solid Power, Inc.",CO,NMC,0.00375,2025,https://www.solidpowerbattery.com/overview/?utm_source=chatgpt.com
70,Blue Solutions Canada Inc.,QC,-,0.2,2025,Solid state
151,VinGroup,NA,-,15,2028,No data that this exists
10,Amplify Cell Technologies,MS,-,21,2027,duplicate— https://www.businesswire.com/news/home/20240701093920/en/Amplify-Cell-Technologies-Begins-Construction-of-Mississippi-Battery-Cell-Factory?utm_source=chatgpt.com
83,Canoo,IN,-,3.2,2025,Pack and shut down
87,EC Power,GA,-,0.001,2028,Component
89,EnerVenue,OH,-,2.904,2026,https://www.energytechrevieweurope.com/enervenue nickel metal hydride
94,Ford  (with CATL),GA,-,22,2026,Paused would be LFP is in MI
99,Freyr,NV,-,17,2025,cancelled- https://www.businesswire.com/news/home/20221010005330/en/FREYR-Battery-Signs-License-and-Services-Agreement-with-Aleees-to-Produce-Active-Cathode-Material-LFP?utm_source=chatgpt.com
100,"Fujihatsu & Toyotsu Battery Components, North Carolina LLC",MS,-,0.66,2025,Battery comp
102,General Motors & LG Energy Solutions,CA,-,35,2025,https://chargedevs.com/newswire/gm-says-its-new-lmr-batteries-will-change-the-outlook-for-the-ev-market/?utm_source=chatgpt.com
103,General Motors & LG Energy Solutions,CA,-,35,2025,
101,General Motors & LG Energy Solutions,KS,-,50,2025,
104,General Motors & LG Energy Solutions,IN,-,50,2025,Cancelled
107,Guoxuan High Tech Co.,MI,-,10,2025,Abandonned- https://www.electrive.com/2025/10/27/gotion-abandons-plans-to-build-battery-cell-factory-in-michigan/?utm_source=chatgpt.com
110,Hyundai & LG Energy Solution,KY,-,30,2025,Not real
111,Hyundai & SK On,TN,-,49.5,2025,not real
113,Hyundai Motor Group,CO,-,0.352,2025,not real
114,Kontrolmatik Technology/Pomega Energy,WV,-,3,2025,not real
118,LG Corporation,MO,-,15,2025,
117,LG Corporation,IN,-,20,2025,Cancelled
115,LG Corporation,CA,-,20.5,2025,
116,LG Corporation,IL,-,20.5,2025,
119,LG Energy Solutions,TX,-,25,2025,Chargers
37,LI-CAP Technologies,CA,-,0.3,2025,Cathode component https://www.nacleanenergy.com/energy-storage/licap-technologies-and-california-energy-commission-celebrate-major-milestone-in-u-s-battery-manufacturing-with-launch-of-300-mwh-dry-electrode-production-line?utm_source=chatgpt.com
122,Nanotech Energy,NC,-,6,2025,https://nanotechenergy.com/breakthrough-21700-battery-cells-a-peek-at-whats-coming-from-nanotech-energy-in-2025/?utm_source=chatgpt.com
121,Nanotech Energy,FL,-,15,2025,
123,Paccar,NC,-,6.3,2027,Duplicate
124,Panasonic,NC,-,30,2025,Is Toyota facility
130,Sion Power Corporation,CA,-,3.751,2026,Anode
138,Stellantis,IN,-,35.2,2028,repetes
139,Stellantis N.V. & Samsung SDI America,NV,-,33,2025,Repete
4,Enovix,CA,LCO,0.2,2025,
2,Xerion Advanced Battery Corp,OH,LCO,1,2025,https://www.iarpa.gov/images/PropsersDayPDFs/RESILIENCE/Xerion_Capabilities_Statement.pdf?utm_source=chatgpt.com
1,Xerion Advanced Battery Corp,OH,LCO,-,2029,Refining 
3,Xerion Advanced Battery Corp,OH,LCO,-,2029,Refining
152,Xerion,OH,LCO,6.66666666666667,2025,https://www.forbes.com/sites/erikkobayashisolomon/2023/11/17/xerion-out-of-stealth-mode-with-a-major-battery-breakthrough/?utm_source=chatgpt.com
63,A123 Systems,MI,LFP,0.969,2025,
6,American Battery Factory,AZ,LFP,4,2027,
47,Dragonfly Energy Holdings Corp,NV,LFP,0.15,2025,
9,e-Storage,KY,LFP,6,2029,
69,Enpower Greentech,MI,LFP,0.2,2025,https://www.enpower-energy.com/en/news/usa-battery-development-manufacturing-updates?utm_source=chatgpt.com
13,Five Stone Energy,VA,LFP,-,2029,Not cell manufacturing
7,Ford Motor Company,MI,LFP,20,2029,
11,Gotion,MI,LFP,68,2029,https://publications.anl.gov/anlpubs/2024/03/187735.pdf?utm_source=chatgpt.com
12,LG Energy Solution Ltd,AZ,LFP,17,2029,
39,"Lithion Battery, Inc.",NV,LFP,0.2,2025,
58,"Lithion Battery, Inc.",AB,LFP,-,2025,Small facility
54,"Our Next Energy, Inc.",MI,LFP,0.01,2025,
8,Pomega Energy Storage Technologies,SC,LFP,3,2027,
